filename,category,f1_score,accuracy
643_129_129_83_17,eukaryote,0.9651162790697675,0.994005994005994
643_129_129_83_17,eukaryote_virus,0.9444444444444444,0.998001998001998
643_129_129_83_17,plasmid,0.6302250803858521,0.8851148851148851
643_129_129_83_17,prokaryote,0.9073010664479082,0.8871128871128872
643_129_129_83_17,prokaryote_virus,0.9621212121212122,0.99000999000999
643_129_129_83_17,multiclass,0.8840833807969656,0.8771228771228772
643_129_129_83_17,virus,0.9600000000000001,0.988011988011988
600_150_150_80_20,eukaryote,0.9815950920245399,0.997
600_150_150_80_20,eukaryote_virus,0.9523809523809523,0.998
600_150_150_80_20,plasmid,0.6763848396501457,0.889
600_150_150_80_20,prokaryote,0.9075043630017452,0.894
600_150_150_80_20,prokaryote_virus,0.9477124183006537,0.984
600_150_150_80_20,multiclass,0.8856924329032493,0.881
600_150_150_80_20,virus,0.9482758620689655,0.982
540_180_180_75_25,eukaryote,0.9605263157894737,0.994
540_180_180_75_25,eukaryote_virus,0.9615384615384615,0.998
540_180_180_75_25,plasmid,0.7000000000000001,0.88
540_180_180_75_25,prokaryote,0.8860759493670887,0.883
540_180_180_75_25,prokaryote_virus,0.9539295392953928,0.983
540_180_180_75_25,multiclass,0.8722662649540707,0.869
540_180_180_75_25,virus,0.9548693586698337,0.981
450_225_225_67_33,eukaryote,0.9781021897810218,0.997
450_225_225_67_33,eukaryote_virus,0.9705882352941176,0.998
450_225_225_67_33,plasmid,0.7616926503340758,0.893
450_225_225_67_33,prokaryote,0.8843537414965987,0.898
450_225_225_67_33,prokaryote_virus,0.9439655172413793,0.974
450_225_225_67_33,multiclass,0.8792945298579813,0.88
450_225_225_67_33,virus,0.9473684210526316,0.972
500_100_100_250_50,eukaryote,0.9860834990059641,0.993
500_100_100_250_50,eukaryote_virus,0.98989898989899,0.999
500_100_100_250_50,plasmid,0.6693227091633466,0.917
500_100_100_250_50,prokaryote,0.910828025477707,0.916
500_100_100_250_50,prokaryote_virus,0.9365853658536586,0.987
500_100_100_250_50,multiclass,0.9120206444869945,0.906
500_100_100_250_50,virus,0.9539473684210527,0.986
467_117_117_240_60,eukaryote,0.9896049896049897,0.995004995004995
467_117_117_240_60,eukaryote_virus,0.9915966386554621,0.999000999000999
467_117_117_240_60,plasmid,0.6334519572953737,0.8971028971028971
467_117_117_240_60,prokaryote,0.8876404494382021,0.9000999000999002
467_117_117_240_60,prokaryote_virus,0.9610389610389611,0.991008991008991
467_117_117_240_60,multiclass,0.8971873358214613,0.8911088911088911
467_117_117_240_60,virus,0.9714285714285714,0.99000999000999
420_140_140_225_75,eukaryote,0.9824561403508771,0.992
420_140_140_225_75,eukaryote_virus,0.9659863945578231,0.995
420_140_140_225_75,plasmid,0.6889632107023411,0.907
420_140_140_225_75,prokaryote,0.8941469489414694,0.915
420_140_140_225_75,prokaryote_virus,0.9288135593220339,0.979
420_140_140_225_75,multiclass,0.8955320775296136,0.894
420_140_140_225_75,virus,0.9411764705882353,0.974
350_175_175_200_100,eukaryote,0.9828009828009828,0.993
350_175_175_200_100,eukaryote_virus,0.9644670050761421,0.993
350_175_175_200_100,plasmid,0.7438016528925621,0.907
350_175_175_200_100,prokaryote,0.8622222222222222,0.907
350_175_175_200_100,prokaryote_virus,0.9664804469273743,0.988
350_175_175_200_100,multiclass,0.8940840423140775,0.894
350_175_175_200_100,virus,0.9693693693693693,0.983
357_71_71_417_83,eukaryote,0.992822966507177,0.993993993993994
357_71_71_417_83,eukaryote_virus,0.9879518072289156,0.997997997997998
357_71_71_417_83,plasmid,0.6781609195402298,0.943943943943944
357_71_71_417_83,prokaryote,0.9017857142857143,0.933933933933934
357_71_71_417_83,prokaryote_virus,0.9466666666666668,0.991991991991992
357_71_71_417_83,multiclass,0.9342416773315141,0.9309309309309309
357_71_71_417_83,virus,0.9683544303797468,0.98998998998999
333_83_83_400_100,eukaryote,0.995,0.995995995995996
333_83_83_400_100,eukaryote_virus,0.9950248756218906,0.998998998998999
333_83_83_400_100,plasmid,0.6489361702127661,0.933933933933934
333_83_83_400_100,prokaryote,0.8962264150943395,0.933933933933934
333_83_83_400_100,prokaryote_virus,0.9479768786127168,0.990990990990991
333_83_83_400_100,multiclass,0.9294190859270464,0.9269269269269269
333_83_83_400_100,virus,0.9732620320855615,0.98998998998999
300_100_100_375_125,eukaryote,0.9893899204244031,0.992
300_100_100_375_125,eukaryote_virus,0.9797570850202428,0.995
300_100_100_375_125,plasmid,0.6359447004608294,0.921
300_100_100_375_125,prokaryote,0.8706293706293706,0.926
300_100_100_375_125,prokaryote_virus,0.9238095238095237,0.984
300_100_100_375_125,multiclass,0.910655089402528,0.909
300_100_100_375_125,virus,0.9584245076586434,0.981
250_125_125_333_167,eukaryote,0.988095238095238,0.992
250_125_125_333_167,eukaryote_virus,0.9817073170731708,0.994
250_125_125_333_167,plasmid,0.72,0.93
250_125_125_333_167,prokaryote,0.8775510204081632,0.94
250_125_125_333_167,prokaryote_virus,0.9538461538461539,0.988
250_125_125_333_167,multiclass,0.9215993605697439,0.922
250_125_125_333_167,virus,0.9761904761904762,0.986
214_43_43_583_117,eukaryote,0.9905741216795201,0.989
214_43_43_583_117,eukaryote_virus,0.9871244635193134,0.997
214_43_43_583_117,plasmid,0.6213592233009709,0.961
214_43_43_583_117,prokaryote,0.9019607843137255,0.96
214_43_43_583_117,prokaryote_virus,0.898876404494382,0.991
214_43_43_583_117,multiclass,0.9513880150092573,0.949
214_43_43_583_117,virus,0.9627329192546583,0.988
200_50_50_560_140,eukaryote,0.9910873440285205,0.99
200_50_50_560_140,eukaryote_virus,0.9782608695652174,0.994
200_50_50_560_140,plasmid,0.6422018348623852,0.961
200_50_50_560_140,prokaryote,0.910025706940874,0.965
200_50_50_560_140,prokaryote_virus,0.923076923076923,0.992
200_50_50_560_140,multiclass,0.9522345136802423,0.951
200_50_50_560_140,virus,0.9631578947368421,0.986
180_60_60_525_175,eukaryote,0.9876072449952336,0.987
180_60_60_525_175,eukaryote_virus,0.9825581395348837,0.994
180_60_60_525_175,plasmid,0.6423357664233577,0.951
180_60_60_525_175,prokaryote,0.848137535816619,0.947
180_60_60_525_175,prokaryote_virus,0.9256198347107439,0.991
180_60_60_525_175,multiclass,0.9371835705561397,0.935
180_60_60_525_175,virus,0.9720430107526882,0.987
150_75_75_467_233,eukaryote,0.9872340425531915,0.988
150_75_75_467_233,eukaryote_virus,0.9826086956521739,0.992
150_75_75_467_233,plasmid,0.7586206896551724,0.965
150_75_75_467_233,prokaryote,0.8837209302325582,0.965
150_75_75_467_233,prokaryote_virus,0.961038961038961,0.994
150_75_75_467_233,multiclass,0.9515187372962406,0.952
150_75_75_467_233,virus,0.9804560260586319,0.988
71_14_14_750_150,eukaryote,0.9946737683089214,0.991991991991992
71_14_14_750_150,eukaryote_virus,0.9795918367346939,0.993993993993994
71_14_14_750_150,plasmid,0.689655172413793,0.990990990990991
71_14_14_750_150,prokaryote,0.9103448275862069,0.986986986986987
71_14_14_750_150,prokaryote_virus,0.9285714285714286,0.997997997997998
71_14_14_750_150,multiclass,0.9812149718861952,0.980980980980981
71_14_14_750_150,virus,0.9813664596273292,0.993993993993994
67_17_17_720_180,eukaryote,0.9937369519832986,0.991008991008991
67_17_17_720_180,eukaryote_virus,0.9859943977591036,0.995004995004995
67_17_17_720_180,plasmid,0.5853658536585366,0.983016983016983
67_17_17_720_180,prokaryote,0.8702290076335878,0.983016983016983
67_17_17_720_180,prokaryote_virus,0.9444444444444444,0.998001998001998
67_17_17_720_180,multiclass,0.9763054101936212,0.975024975024975
67_17_17_720_180,virus,0.9872773536895675,0.995004995004995
60_20_20_675_225,eukaryote,0.9874908020603385,0.983
60_20_20_675_225,eukaryote_virus,0.9658314350797266,0.985
60_20_20_675_225,plasmid,0.6181818181818183,0.979
60_20_20_675_225,prokaryote,0.7850467289719626,0.977
60_20_20_675_225,prokaryote_virus,1.0,1.0
60_20_20_675_225,multiclass,0.9633348043856211,0.962
60_20_20_675_225,virus,0.9686847599164927,0.985
50_25_25_600_300,eukaryote,0.9834162520729685,0.98
50_25_25_600_300,eukaryote_virus,0.9744463373083475,0.985
50_25_25_600_300,plasmid,0.6909090909090909,0.983
50_25_25_600_300,prokaryote,0.816326530612245,0.982
50_25_25_600_300,prokaryote_virus,0.9259259259259259,0.996
50_25_25_600_300,multiclass,0.963620854387773,0.963
50_25_25_600_300,virus,0.9734789391575663,0.983
