filename,category,f1_score,accuracy
643_129_129_83_17,eukaryote,0.9595375722543353,0.993006993006993
643_129_129_83_17,eukaryote_virus,0.9696969696969697,0.999000999000999
643_129_129_83_17,plasmid,0.6195286195286196,0.8871128871128872
643_129_129_83_17,prokaryote,0.9076175040518638,0.8861138861138861
643_129_129_83_17,prokaryote_virus,0.9509433962264151,0.987012987012987
643_129_129_83_17,multiclass,0.8814339781415645,0.8761238761238761
643_129_129_83_17,virus,0.9530201342281879,0.986013986013986
600_150_150_80_20,eukaryote,0.9696969696969697,0.995
600_150_150_80_20,eukaryote_virus,0.9523809523809523,0.998
600_150_150_80_20,plasmid,0.7065868263473053,0.902
600_150_150_80_20,prokaryote,0.9155787641427328,0.903
600_150_150_80_20,prokaryote_virus,0.9548387096774195,0.986
600_150_150_80_20,multiclass,0.8951844655127249,0.892
600_150_150_80_20,virus,0.9545454545454546,0.984
540_180_180_75_25,eukaryote,0.967741935483871,0.995
540_180_180_75_25,eukaryote_virus,1.0,1.0
540_180_180_75_25,plasmid,0.67,0.868
540_180_180_75_25,prokaryote,0.8793774319066149,0.876
540_180_180_75_25,prokaryote_virus,0.9482288828337875,0.981
540_180_180_75_25,multiclass,0.8637256573009441,0.86
540_180_180_75_25,virus,0.9544364508393285,0.981
450_225_225_67_33,eukaryote,0.9635036496350364,0.995
450_225_225_67_33,eukaryote_virus,0.9850746268656716,0.999
450_225_225_67_33,plasmid,0.7903930131004367,0.904
450_225_225_67_33,prokaryote,0.887627695800227,0.901
450_225_225_67_33,prokaryote_virus,0.9715536105032822,0.987
450_225_225_67_33,multiclass,0.8929326606330535,0.893
450_225_225_67_33,virus,0.9732824427480916,0.986
500_100_100_250_50,eukaryote,0.9841897233201581,0.992
500_100_100_250_50,eukaryote_virus,0.9387755102040817,0.994
500_100_100_250_50,plasmid,0.6260162601626016,0.908
500_100_100_250_50,prokaryote,0.8952380952380952,0.901
500_100_100_250_50,prokaryote_virus,0.9560975609756097,0.991
500_100_100_250_50,multiclass,0.8988166360731124,0.893
500_100_100_250_50,virus,0.9570957095709571,0.987
467_117_117_240_60,eukaryote,0.9834024896265561,0.9920079920079921
467_117_117_240_60,eukaryote_virus,0.9572649572649572,0.995004995004995
467_117_117_240_60,plasmid,0.6768060836501901,0.9150849150849151
467_117_117_240_60,prokaryote,0.9050279329608939,0.9150849150849151
467_117_117_240_60,prokaryote_virus,0.9387755102040816,0.985014985014985
467_117_117_240_60,multiclass,0.904219366753205,0.9010989010989011
467_117_117_240_60,virus,0.9558011049723757,0.984015984015984
420_140_140_225_75,eukaryote,0.9867256637168141,0.994
420_140_140_225_75,eukaryote_virus,0.9932885906040269,0.999
420_140_140_225_75,plasmid,0.742671009771987,0.921
420_140_140_225_75,prokaryote,0.9048207663782448,0.923
420_140_140_225_75,prokaryote_virus,0.9752650176678446,0.993
420_140_140_225_75,multiclass,0.9170456843520244,0.915
420_140_140_225_75,virus,0.9814814814814816,0.992
350_175_175_200_100,eukaryote,0.9851485148514851,0.994
350_175_175_200_100,eukaryote_virus,0.9797979797979798,0.996
350_175_175_200_100,plasmid,0.7506849315068495,0.909
350_175_175_200_100,prokaryote,0.8711111111111111,0.913
350_175_175_200_100,prokaryote_virus,0.9553072625698323,0.984
350_175_175_200_100,multiclass,0.8984470238024033,0.898
350_175_175_200_100,virus,0.9640287769784173,0.98
357_71_71_417_83,eukaryote,0.9940119760479041,0.994994994994995
357_71_71_417_83,eukaryote_virus,0.9818181818181818,0.996996996996997
357_71_71_417_83,plasmid,0.5945945945945945,0.924924924924925
357_71_71_417_83,prokaryote,0.888888888888889,0.9259259259259259
357_71_71_417_83,prokaryote_virus,0.9387755102040817,0.990990990990991
357_71_71_417_83,multiclass,0.9231196335104349,0.9169169169169169
357_71_71_417_83,virus,0.967948717948718,0.98998998998999
333_83_83_400_100,eukaryote,0.9825,0.985985985985986
333_83_83_400_100,eukaryote_virus,0.9748743718592964,0.994994994994995
333_83_83_400_100,plasmid,0.6702127659574467,0.9379379379379379
333_83_83_400_100,prokaryote,0.8923556942277691,0.9309309309309309
333_83_83_400_100,prokaryote_virus,0.9411764705882354,0.98998998998999
333_83_83_400_100,multiclass,0.9223094994965648,0.91991991991992
333_83_83_400_100,virus,0.959349593495935,0.984984984984985
300_100_100_375_125,eukaryote,0.9853917662682602,0.989
300_100_100_375_125,eukaryote_virus,0.9797570850202428,0.995
300_100_100_375_125,plasmid,0.7217391304347824,0.936
300_100_100_375_125,prokaryote,0.8849557522123894,0.935
300_100_100_375_125,prokaryote_virus,0.9658536585365853,0.993
300_100_100_375_125,multiclass,0.9262375525389817,0.924
300_100_100_375_125,virus,0.9734513274336283,0.988
250_125_125_333_167,eukaryote,0.9865470852017937,0.991
250_125_125_333_167,eukaryote_virus,0.9818181818181819,0.994
250_125_125_333_167,plasmid,0.7729083665338645,0.943
250_125_125_333_167,prokaryote,0.8961303462321792,0.949
250_125_125_333_167,prokaryote_virus,0.9652509652509652,0.991
250_125_125_333_167,multiclass,0.9337863187669823,0.934
250_125_125_333_167,virus,0.9779286926994906,0.987
214_43_43_583_117,eukaryote,0.9931389365351629,0.992
214_43_43_583_117,eukaryote_virus,0.9913793103448275,0.998
214_43_43_583_117,plasmid,0.6274509803921569,0.962
214_43_43_583_117,prokaryote,0.9104116222760291,0.963
214_43_43_583_117,prokaryote_virus,0.942528735632184,0.995
214_43_43_583_117,multiclass,0.9573285942664618,0.955
214_43_43_583_117,virus,0.9780564263322885,0.993
200_50_50_560_140,eukaryote,0.9928698752228164,0.992
200_50_50_560_140,eukaryote_virus,0.9818181818181818,0.995
200_50_50_560_140,plasmid,0.6956521739130435,0.965
200_50_50_560_140,prokaryote,0.9010416666666665,0.962
200_50_50_560_140,prokaryote_virus,0.9615384615384615,0.996
200_50_50_560_140,multiclass,0.9565295406852312,0.955
200_50_50_560_140,virus,0.9762532981530344,0.991
180_60_60_525_175,eukaryote,0.9857549857549858,0.985
180_60_60_525_175,eukaryote_virus,0.976608187134503,0.992
180_60_60_525_175,plasmid,0.6814814814814815,0.957
180_60_60_525_175,prokaryote,0.887608069164265,0.961
180_60_60_525_175,prokaryote_virus,0.9593495934959351,0.995
180_60_60_525_175,multiclass,0.9466471172181183,0.945
180_60_60_525_175,virus,0.9720430107526882,0.987
150_75_75_467_233,eukaryote,0.9829787234042553,0.984
150_75_75_467_233,eukaryote_virus,0.9715536105032824,0.987
150_75_75_467_233,plasmid,0.751592356687898,0.961
150_75_75_467_233,prokaryote,0.8668941979522184,0.961
150_75_75_467_233,prokaryote_virus,0.9673202614379085,0.995
150_75_75_467_233,multiclass,0.9443756311293202,0.944
150_75_75_467_233,virus,0.9737704918032787,0.984
71_14_14_750_150,eukaryote,0.992,0.987987987987988
71_14_14_750_150,eukaryote_virus,0.9767441860465117,0.992992992992993
71_14_14_750_150,plasmid,0.6000000000000001,0.987987987987988
71_14_14_750_150,prokaryote,0.8985507246376812,0.985985985985986
