filename,f1_score,accuracy
00_643_129_129_83_17_1,0.5693069306930693,0.8261738261738262
01_600_150_150_80_20_1,0.6527777777777778,0.85
02_540_180_180_75_25_1,0.6956521739130433,0.846
03_450_225_225_67_33_1,0.7169179229480738,0.831
04_500_100_100_250_50_1,0.4615384615384616,0.783
05_467_117_117_240_60_1,0.5158371040723982,0.7862137862137862
06_420_140_140_225_75_1,0.5354969574036511,0.771
07_350_175_175_200_100_1,0.5759162303664922,0.757
08_357_71_71_417_83_1,0.28703703703703703,0.6916916916916916
09_333_83_83_400_100_1,0.3295711060948081,0.7027027027027027
10_300_100_100_375_125_1,0.3983572895277207,0.707
11_250_125_125_333_167_1,0.4323374340949034,0.677
12_214_43_43_583_117_1,0.19607843137254902,0.672
13_200_50_50_560_140_1,0.20247933884297523,0.614
14_180_60_60_525_175_1,0.2217659137577002,0.621
15_150_75_75_467_233_1,0.2621184919210054,0.589
16_71_14_14_750_150_1,0.05857740585774059,0.5495495495495496
17_67_17_17_720_180_1,0.07311827956989246,0.5694305694305695
18_60_20_20_675_225_1,0.07843137254901959,0.53
19_50_25_25_600_300_1,0.0893854748603352,0.511
