filename,f1_score,accuracy
643_129_129_83_17,0.4913151364764268,0.7952047952047953
600_150_150_80_20,0.5904761904761905,0.828
540_180_180_75_25,0.6116071428571429,0.826
450_225_225_67_33,0.7095516569200778,0.851
500_100_100_250_50,0.5015673981191222,0.841
467_117_117_240_60,0.567741935483871,0.8661338661338661
420_140_140_225_75,0.6428571428571429,0.87
350_175_175_200_100,0.6865671641791045,0.874
357_71_71_417_83,0.4789915966386554,0.8758758758758759
333_83_83_400_100,0.5126050420168067,0.8838838838838838
300_100_100_375_125,0.6319702602230484,0.901
250_125_125_333_167,0.6550522648083623,0.901
214_43_43_583_117,0.5441176470588236,0.938
200_50_50_560_140,0.5316455696202531,0.926
180_60_60_525_175,0.5681818181818181,0.924
150_75_75_467_233,0.7078651685393258,0.948
71_14_14_750_150,0.3389830508474576,0.960960960960961
67_17_17_720_180,0.3478260869565218,0.955044955044955
60_20_20_675_225,0.39999999999999997,0.955
50_25_25_600_300,0.5599999999999999,0.967
