filename,f1_score,accuracy
643_129_129_83_17,0.8258064516129032,0.9460539460539461
600_150_150_80_20,0.8522727272727273,0.948
540_180_180_75_25,0.8463356973995273,0.935
450_225_225_67_33,0.8754863813229572,0.936
500_100_100_250_50,0.6688963210702341,0.901
467_117_117_240_60,0.6573033707865168,0.8781218781218781
420_140_140_225_75,0.7216494845360826,0.892
350_175_175_200_100,0.6986027944111777,0.849
357_71_71_417_83,0.4761904761904762,0.8458458458458459
333_83_83_400_100,0.5,0.8338338338338338
300_100_100_375_125,0.5235602094240838,0.818
250_125_125_333_167,0.5232067510548524,0.774
214_43_43_583_117,0.3173431734317343,0.815
200_50_50_560_140,0.32467532467532473,0.792
180_60_60_525_175,0.3342618384401114,0.761
150_75_75_467_233,0.32537960954446854,0.689
71_14_14_750_150,0.10526315789473684,0.7617617617617618
67_17_17_720_180,0.11564625850340136,0.7402597402597403
60_20_20_675_225,0.11695906432748539,0.698
50_25_25_600_300,0.12254901960784315,0.642
