filename,f1_score,accuracy
643_129_129_83_17,0.8894304215412819,0.8800475059382423
600_150_150_80_20,0.8904355290503299,0.8774509803921569
540_180_180_75_25,0.8884133725289842,0.8783610755441741
450_225_225_67_33,0.8691703054253027,0.863013698630137
500_100_100_250_50,0.7515906884836097,0.738562091503268
467_117_117_240_60,0.7569967481721378,0.7486631016042781
420_140_140_225_75,0.7520105077856999,0.7405329593267882
350_175_175_200_100,0.7557087863055739,0.7458893871449925
357_71_71_417_83,0.6387219118077992,0.6335403726708074
333_83_83_400_100,0.6352992770147065,0.6248037676609105
300_100_100_375_125,0.6209187007803738,0.6108374384236454
250_125_125_333_167,0.6279719306844034,0.6182136602451839
214_43_43_583_117,0.4589029078449556,0.44751381215469616
200_50_50_560_140,0.45212772255524597,0.4463276836158192
180_60_60_525_175,0.44781579168071894,0.444007858546169
150_75_75_467_233,0.4465797300388928,0.4425531914893617
71_14_14_750_150,0.20987808716488704,0.20638820638820637
67_17_17_720_180,0.20305736608474126,0.19753086419753085
60_20_20_675_225,0.20158591460235017,0.19148936170212766
50_25_25_600_300,0.19369704343578092,0.18904109589041096
