Euk->EukVir,Euk->Plasmid,Euk->Prok,Euk->ProkVir,EukVir->Euk,EukVir->Plasmid,EukVir->Prok,EukVir->ProkVir,Plasmid->Euk,Plasmid->EukVir,Plasmid->Prok,Plasmid->ProkVir,Prok->Euk,Prok->EukVir,Prok->Plasmid,Prok->ProkVir,ProkVir->Euk,ProkVir->EukVir,ProkVir->Plasmid,ProkVir->Prok
0,1,1,0,0,0,0,0,1,0,3,1,0,0,23,4,0,0,3,2
0,0,0,0,0,1,0,1,0,0,3,0,1,0,27,6,0,0,3,3
0,0,0,0,1,0,0,0,0,0,8,1,0,0,31,3,0,0,3,3
0,0,0,0,0,0,0,0,3,0,6,1,0,0,20,3,0,3,2,2
0,0,0,0,2,0,0,1,0,0,3,1,0,0,27,1,0,1,1,3
1,0,0,0,1,0,0,0,0,0,4,0,0,1,19,5,0,0,3,5
0,0,0,0,0,1,0,1,0,0,6,0,0,0,16,0,0,0,2,1
1,0,0,0,1,0,0,0,0,0,3,1,0,0,15,0,0,0,9,4
0,0,2,0,1,0,0,0,0,0,5,0,0,0,16,0,0,1,2,1
0,0,0,0,2,0,0,0,0,0,5,3,0,0,13,2,0,0,2,1
1,0,1,0,1,0,0,2,0,0,3,0,0,1,13,0,0,1,2,2
1,0,0,0,0,0,0,1,1,0,10,0,0,0,17,0,0,0,1,2
0,0,0,1,1,0,0,0,1,0,1,1,0,0,12,1,0,0,2,0
2,1,0,0,1,0,0,0,0,0,2,0,0,1,10,0,0,0,1,1
1,0,1,0,3,0,0,1,0,0,1,1,0,0,7,1,0,1,2,1
2,0,0,1,1,1,0,3,1,0,1,0,0,0,11,0,0,0,1,2
0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,3,0,3,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0
3,1,1,0,2,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0
2,0,1,0,3,2,0,1,0,0,0,0,0,0,5,1,0,0,0,1
