filename,f1_score,accuracy
643_129_129_83_17,0.6140845070422535,0.8631368631368631
600_150_150_80_20,0.6047619047619048,0.834
540_180_180_75_25,0.6592427616926503,0.847
450_225_225_67_33,0.6819787985865725,0.82
500_100_100_250_50,0.5027322404371585,0.818
467_117_117_240_60,0.554016620498615,0.8391608391608392
420_140_140_225_75,0.5845410628019324,0.828
350_175_175_200_100,0.6176470588235294,0.818
357_71_71_417_83,0.3949843260188088,0.8068068068068068
333_83_83_400_100,0.4119402985074627,0.8028028028028028
300_100_100_375_125,0.4530386740331492,0.802
250_125_125_333_167,0.4516129032258065,0.762
214_43_43_583_117,0.23443223443223443,0.791
200_50_50_560_140,0.2996742671009772,0.785
180_60_60_525_175,0.32362459546925565,0.791
150_75_75_467_233,0.3583815028901734,0.778
71_14_14_750_150,0.08480565371024734,0.7407407407407407
67_17_17_720_180,0.09964412811387902,0.7472527472527473
60_20_20_675_225,0.10830324909747291,0.753
50_25_25_600_300,0.16058394160583941,0.77
