filename,f1_score,accuracy
643_129_129_83_17,0.735632183908046,0.9080919080919081
600_150_150_80_20,0.7700258397932817,0.911
540_180_180_75_25,0.7574468085106383,0.886
450_225_225_67_33,0.81374321880651,0.897
500_100_100_250_50,0.5509641873278237,0.837
467_117_117_240_60,0.5707317073170732,0.8241758241758241
420_140_140_225_75,0.612691466083151,0.823
350_175_175_200_100,0.6304347826086957,0.796
357_71_71_417_83,0.37433155080213903,0.7657657657657657
333_83_83_400_100,0.39705882352941174,0.7537537537537538
300_100_100_375_125,0.44545454545454544,0.756
250_125_125_333_167,0.4708097928436912,0.719
214_43_43_583_117,0.2118226600985222,0.68
200_50_50_560_140,0.2252252252252252,0.656
180_60_60_525_175,0.24789915966386553,0.642
150_75_75_467_233,0.3,0.65
71_14_14_750_150,0.06422018348623854,0.5915915915915916
67_17_17_720_180,0.08095238095238096,0.6143856143856143
60_20_20_675_225,0.08528784648187633,0.571
50_25_25_600_300,0.10438413361169101,0.571
