filename,f1_score,accuracy
643_129_129_83_17,0.9192546583850931,0.987012987012987
600_150_150_80_20,0.896969696969697,0.983
540_180_180_75_25,0.9113924050632911,0.986
450_225_225_67_33,0.9064748201438849,0.987
500_100_100_250_50,0.9409368635437882,0.971
467_117_117_240_60,0.9399141630901287,0.972027972027972
420_140_140_225_75,0.9545454545454545,0.98
350_175_175_200_100,0.9100529100529101,0.966
357_71_71_417_83,0.9614906832298137,0.968968968968969
333_83_83_400_100,0.948051948051948,0.95995995995996
300_100_100_375_125,0.9587912087912088,0.97
250_125_125_333_167,0.9600000000000001,0.974
214_43_43_583_117,0.9507609668755596,0.945
200_50_50_560_140,0.956197576887232,0.953
180_60_60_525_175,0.9470529470529471,0.947
150_75_75_467_233,0.9401129943502825,0.947
71_14_14_750_150,0.9548924358084663,0.934934934934935
67_17_17_720_180,0.950509461426492,0.932067932067932
60_20_20_675_225,0.9696048632218844,0.96
50_25_25_600_300,0.9565972222222222,0.95
