filename,f1_score,accuracy
643_129_129_83_17,0.8615384615384616,0.955044955044955
600_150_150_80_20,0.9042553191489361,0.964
540_180_180_75_25,0.9024943310657596,0.957
450_225_225_67_33,0.8960573476702509,0.942
500_100_100_250_50,0.8656716417910447,0.955
467_117_117_240_60,0.8556701030927836,0.9440559440559441
420_140_140_225_75,0.9207048458149779,0.964
350_175_175_200_100,0.9265734265734266,0.958
357_71_71_417_83,0.8705882352941178,0.955955955955956
333_83_83_400_100,0.8829787234042553,0.955955955955956
300_100_100_375_125,0.8984881209503239,0.953
250_125_125_333_167,0.9044368600682594,0.944
214_43_43_583_117,0.8875739644970413,0.962
200_50_50_560_140,0.9128205128205129,0.966
180_60_60_525_175,0.9018789144050104,0.953
150_75_75_467_233,0.926829268292683,0.955
71_14_14_750_150,0.9020771513353116,0.9669669669669669
67_17_17_720_180,0.8910891089108911,0.9560439560439561
60_20_20_675_225,0.9156626506024097,0.958
50_25_25_600_300,0.9192546583850931,0.948
