filename,f1_score,accuracy
643_129_129_83_17,0.5432098765432098,0.926073926073926
600_150_150_80_20,0.5033112582781457,0.925
540_180_180_75_25,0.5487804878048781,0.926
450_225_225_67_33,0.5408805031446541,0.927
500_100_100_250_50,0.6681514476614699,0.851
467_117_117_240_60,0.6605080831408776,0.8531468531468531
420_140_140_225_75,0.6422018348623852,0.844
350_175_175_200_100,0.5277044854881265,0.821
357_71_71_417_83,0.6666666666666666,0.7597597597597597
333_83_83_400_100,0.6395511921458625,0.7427427427427428
300_100_100_375_125,0.6358208955223881,0.756
250_125_125_333_167,0.5791999999999999,0.737
214_43_43_583_117,0.6852035749751737,0.683
200_50_50_560_140,0.6612244897959184,0.668
180_60_60_525_175,0.6561181434599156,0.674
150_75_75_467_233,0.5864485981308412,0.646
71_14_14_750_150,0.7096273291925467,0.6256256256256256
67_17_17_720_180,0.6837881219903692,0.6063936063936064
60_20_20_675_225,0.6627810158201499,0.595
50_25_25_600_300,0.6224215246636771,0.579
