	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
ESPAEMG01_S37_L003_coverM	36.07226603774771	8.286366711527274	7.748116797484582	31.633517692214323	16.25973276102611	20678870
ESPAEMG02_S38_L003_coverM	32.727341193901474	9.27525910181746	8.653199133261255	36.511764547201935	12.832436023817879	20129249
ESPAEMG03_S39_L003_coverM	39.16686185129519	11.035811443676808	9.938696946604871	25.38507779319963	14.473551965223503	20446453
ESPAEMG04_S40_L003_coverM	39.91429010563206	5.042770913099744	6.752126488590729	30.134851565360126	18.155960927317338	20527385
ESPAEMG05_S41_L003_coverM	37.71399823210879	2.699494895988343	8.546980685580314	39.79775556413966	11.241770622182887	27609165
ESPAEMG06_S42_L003_coverM	32.93765979187703	3.1555810155013604	8.904378365411052	41.05117449106797	13.951206336142588	33097740
ESPAEMG07_S43_L003_coverM	25.015620423184995	8.583475700983103	8.649067302139386	34.53672908161303	23.21510749207948	22573012
ESPAEMG09_S44_L003_coverM	20.252300500691387	9.119592059255817	9.637403797022069	39.494698229257416	21.496005413773315	34847414
ESPAEMG11_S45_L003_coverM	22.537566592018717	7.1934656266277095	8.449897847952846	44.00614893540723	17.812920997993498	16201829
ESPAEMG13_S46_L003_coverM	28.638311967892434	8.934538827935068	7.285666080816267	37.9893004042375	17.152182719118734	13896039
ESPAEMG15_S47_L003_coverM	19.211738541769073	5.591545798128998	7.759748570278646	39.92741712054606	27.50954996927722	19916818
ESPAEMG17_S48_L003_coverM	16.59915703655289	3.9399400627844394	10.123923431659735	48.19451361953428	21.14246584946866	39308466
ESPAEMG19_S49_L003_coverM	28.35779803626863	4.14245051769458	10.793371480817928	45.064831082726606	11.64154888249226	27408535
ESPAEMG21_S50_L003_coverM	25.529894923116775	4.650761604202063	10.411804014358248	47.960087181103994	11.447452277218924	28444696
ESPAEMG23_S51_L003_coverM	25.668756551244098	4.64104221757453	10.453389286648708	47.98449484045818	11.252317104074484	19446688
ESPAEMG25_S52_L003_coverM	26.42229111902425	4.872060843877274	10.360228821426091	43.29651533528221	15.048903880390176	14934091
ESPAEMG27_S53_L003_coverM	23.113243620022065	4.243061542573411	11.007040574576282	44.53586621309687	17.100788049731374	23144986
ESPAEMG29_S54_L003_coverM	23.82637236758717	5.41607619778331	10.028197985250506	46.26982535105882	14.459528098320193	25670983
ESPAEMG31_S55_L003_coverM	23.087442638657482	3.643506813185655	10.992061672003075	48.05330396023838	14.223684915915404	25051497
ESPAEMG33_S56_L003_coverM	26.093261077070046	5.570130822177191	10.067759485339234	44.594786211798855	13.67406240361467	30797607
ESPAEMG35_S57_L003_coverM	34.90421235864046	4.250541294121312	9.615973239041715	40.98035569643914	10.248917411757375	10271680
ESPAEMG37_S58_L003_coverM	33.322206814242456	3.9276956651914734	9.736879856211774	42.69115244470659	10.322065219647712	19365146
ESPAEMG39_S59_L003_coverM	21.498976899320912	5.321242922849982	9.488641002826135	46.05450484235635	17.63663433264662	25817596
ESPAEMG41_S60_L003_coverM	14.491222891731942	5.175568281996556	7.9163599294488405	39.15662615283625	33.260222743986404	37523976
ESPAEMG43_S61_L003_coverM	15.66976845397629	3.9527196603243198	8.995951135262855	43.76499091863113	27.61656983180541	29429484
ESPAEMG45_S62_L003_coverM	26.51935801949883	5.06353406927607	8.098433872875978	36.984659321945415	23.334014716403708	27199580
ESPAEMG47_S63_L003_coverM	29.83123550405633	6.063420737598802	7.372082998500792	32.967411846605096	23.76584891323898	11241938
ESPAEMG51_S64_L003_coverM	26.038219137189106	6.720910567848305	6.577764130909707	29.50835181127725	31.15475435277563	19449314
ESPAEMG53_S65_L003_coverM	29.505043760263863	6.470014017254521	6.186051760043705	28.10567679866857	29.73321366376934	40916001
