Sample_Name	Month_Day	Month	Day	CUBHE	ConsistencyHE	CPB	FilteredSequences	OGT	d	LowerCI	UpperCI
ESPAEMG01_S37_L003	Mar_18	3	18	0.901614211221283	NA	NA	20975	16.14	0.80360177882117	0.608944689000317	1.07256268166111
ESPAEMG02_S38_L003	Mar_19	3	19	0.833935560051927	NA	NA	23636	16.25	1.25830830182475	0.979900540302819	1.63069995035466
ESPAEMG03_S39_L003	Mar_20	3	20	0.996052174044443	NA	NA	25029	16.283	0.446582861734237	0.323339607915379	0.626407907521779
ESPAEMG04_S40_L003	Mar_21	3	21	0.872267427922374	NA	NA	24577	16.597	0.96407161863374	0.74106214394987	1.26700820355916
ESPAEMG05_S41_L003	Mar_22	3	22	0.820435393253167	NA	NA	33504	16.652	1.36894091551553	1.07238215520808	1.76283729457661
ESPAEMG06_S42_L003	Mar_23	3	23	0.818861849734646	NA	NA	40033	16.559	1.3869737381842	1.0865357869068	1.78601065610688
ESPAEMG07_S43_L003	Apr_08	4	8	0.865698502670281	NA	NA	24536	15.183	1.0387679944983	0.796461369636142	1.36891005731635
ESPAEMG09_S44_L003	Apr_09	4	9	0.799983886199763	NA	NA	41952	15.678	1.61697287414554	1.26688162094958	2.0818855569198
ESPAEMG11_S45_L003	Apr_10	4	10	0.779291942692965	NA	NA	23077	15.237	1.89664753523954	1.4865754651023	2.44096513411388
ESPAEMG13_S46_L003	Apr_11	4	11	0.779921684915494	NA	NA	20874	14.956	1.90069287365738	1.48720556164133	2.45065523411422
ESPAEMG15_S47_L003	Apr_12	4	12	0.774568732791135	NA	NA	26334	15.314	1.95960658801026	1.53714525261656	2.51984065464134
ESPAEMG17_S48_L003	Apr_13	4	13	0.789385187083954	NA	NA	44471	15.247	1.76239441335336	1.37993293491804	2.2706800432072
ESPAEMG19_S49_L003	Apr_14	4	14	0.840208780768452	NA	NA	32818	15.119	1.2363592354872	0.956161757574991	1.61423910526537
ESPAEMG21_S50_L003	Apr_15	4	15	0.798161068691554	NA	NA	44697	15.371	1.64995890321605	1.29104758536179	2.12731887389763
ESPAEMG23_S51_L003	Apr_16	4	16	0.799154838512254	NA	NA	31105	15.247	1.64305605098424	1.28457005405301	2.12032393923425
ESPAEMG25_S52_L003	Apr_17	4	17	0.826279480591383	NA	NA	21031	15.314	1.35517126078098	1.053318598024	1.75983816822911
ESPAEMG27_S53_L003	Apr_18	4	18	0.835809876872092	NA	NA	31942	15.834	1.25391004799508	0.974131811683604	1.62920338033805
ESPAEMG29_S54_L003	Apr_19	4	19	0.807491624594555	NA	NA	32313	16.326	1.5101997446696	1.1852444376742	1.94086179510301
ESPAEMG31_S55_L003	Apr_20	4	20	0.832609402248701	NA	NA	32346	16.611	1.25953430796098	0.982797486373408	1.62882342488962
ESPAEMG33_S56_L003	Apr_21	4	21	0.827796128649795	NA	NA	38725	16.775	1.29719917107379	1.01447058264236	1.67347708467238
ESPAEMG35_S57_L003	Apr_22	4	22	0.81120763048194	NA	NA	12150	16.907	1.45161477015412	1.14139978851073	1.86183094413388
ESPAEMG37_S58_L003	Apr_23	4	23	0.832960602931744	NA	NA	25857	17.16	1.24104253959632	0.970490567938746	1.60114249864303
ESPAEMG39_S59_L003	Apr_24	4	24	0.850831500824945	NA	NA	30262	17.411	1.09285232863054	0.849854365921245	1.41842448467603
ESPAEMG41_S60_L003	Apr_25	4	25	0.77069759771523	NA	NA	47164	17.352	1.91967285811775	1.52425029214867	2.43655360101987
ESPAEMG43_S61_L003	Apr_26	4	26	0.766613631894628	NA	NA	41528	16.868	2.00107503363872	1.58495802830552	2.54660102806034
ESPAEMG45_S62_L003	Apr_27	4	27	0.82243800431576	NA	NA	30225	16.698	1.34859830674395	1.0560445295608	1.73735045563262
ESPAEMG47_S63_L003	Apr_28	4	28	0.852627543879393	NA	NA	13547	15.947	1.11527007571584	0.861852571987002	1.45734606469346
ESPAEMG51_S64_L003	Apr_30	4	30	0.812976997874682	NA	NA	21524	16.213	1.45679873341369	1.14117563732791	1.87603047352526
ESPAEMG53_S65_L003	May_01	5	1	0.804255570449368	NA	NA	42279	16.244	1.54808712332572	1.21537964383813	1.98885108557886
