	Eukaryote	EukaryoticVirus	Prokaryote	ProkaryoticVirus	Unclassified	UnclassifiedVirus	TotalCnt
ESPAEMG01_S37_L003	22.043484511775677	0.8152525127643295	52.23363052583277	3.5619322316842243	20.646054087862346	0.699646130080653	38832631
ESPAEMG02_S38_L003	19.94247986416394	0.7910602047211777	54.459023721105744	3.322739746184238	20.80867421717621	0.676022246648693	34578152
ESPAEMG03_S39_L003	22.86155931897468	0.8471575254021823	47.89967412697614	3.168969485237868	24.581317675304575	0.6413218681045568	42372639
ESPAEMG04_S40_L003	23.165695677798908	0.7672245404916637	50.389945960405626	4.572341699330839	20.408557181570224	0.6962349404027388	36732141
ESPAEMG05_S41_L003	20.28980209295002	0.5895217796271188	57.28927999643156	4.049801445037322	17.148151712105605	0.6334429738483777	40622757
ESPAEMG06_S42_L003	20.912505894296153	0.6257656334272762	57.33178006484466	4.506991776453764	15.906035198533242	0.7169214324449086	54393687
ESPAEMG07_S43_L003	15.812990155415369	0.6333964174318656	60.51242400193696	3.001422260155489	19.23286244552005	0.8069047195402712	37919223
ESPAEMG09_S44_L003	13.404086209900768	0.628380997530497	62.806555893399924	3.009328227901931	19.382333267827796	0.7693154034390801	53160901
ESPAEMG11_S45_L003	13.021375426393707	0.7366593216922119	65.0076054389646	2.86223265022618	17.39266835434365	0.9794588083796484	24053181
ESPAEMG13_S46_L003	14.971008435533463	0.7878298903201141	58.71345364224944	2.68003988035537	21.881861730016873	0.9658064215247372	22450151
ESPAEMG15_S47_L003	13.883572964279374	0.7260474258454946	66.51603838269214	3.2041128853442875	14.576684733194238	1.0935436086444608	29323842
ESPAEMG17_S48_L003	11.328934928227856	0.6412524236474814	72.25587459600006	3.1773790949266827	11.642783398122726	0.9537755590751991	53948646
ESPAEMG19_S49_L003	20.475405287035493	0.7705426475140976	62.737905881910244	2.2985281214021396	13.138773488497462	0.5788445736405641	39756268
ESPAEMG21_S50_L003	16.507158410151305	0.9403530711401331	64.88066372121106	3.1866242301011773	13.838326913030416	0.6468736543659125	43021075
ESPAEMG23_S51_L003	16.637869362038597	0.9152731699766136	64.72347502380957	3.1579507079575433	13.930879991017346	0.634551745200333	29639348
ESPAEMG25_S52_L003	18.099573756488503	0.9453748263869589	62.076398818103264	3.588124481876398	14.62763540289724	0.6628927142476364	23568218
ESPAEMG27_S53_L003	16.626763361103862	1.1452374737413955	64.75096500313563	4.07012167057569	12.694647165372444	0.7122653260709814	32264662
ESPAEMG29_S54_L003	15.892993456520674	0.7457173752251771	64.4120358551566	2.863499350389561	15.423747716885757	0.6620062458222283	36770499
ESPAEMG31_S55_L003	17.023980285016812	0.7893382659916807	65.42923384359209	3.342631863824057	12.812116775742332	0.6026989658330356	37486210
ESPAEMG33_S56_L003	18.406579233083647	0.7815836843424977	61.16325111176977	2.672009242718857	16.381214454213787	0.5953622738714405	48806418
ESPAEMG35_S57_L003	24.860552104736403	0.6889547880896952	55.67723429788461	2.201754386973905	16.109799121184658	0.461705301130732	17387498
ESPAEMG37_S58_L003	24.158523701257547	0.6513212277330271	57.14166029969518	2.295136506485052	15.307630883169452	0.44572738165973774	31320490
ESPAEMG39_S59_L003	14.866568468325626	1.0837670371828891	64.10375688621262	4.8359644658308705	14.030708856499206	1.0792342859487807	38453467
ESPAEMG41_S60_L003	10.711041480414853	2.5135319338336872	64.22124998197648	10.637858626566045	9.851972134773987	2.064345842434949	47576718
ESPAEMG43_S61_L003	11.923847848556894	1.5302403927304553	65.88135257069344	9.15418408955096	9.797552766742582	1.7128223317256717	38597465
ESPAEMG45_S62_L003	19.440391719160946	1.7659139595601847	58.34902519344433	6.625221756402873	12.547144087194305	1.2723032842373638	40689355
ESPAEMG47_S63_L003	22.07730610073034	2.398983621136477	56.14157501128658	6.225711888310726	11.816706647374646	1.339716731161234	15587101
ESPAEMG51_S64_L003	19.39388609472835	3.1402022927701374	55.26247668749856	9.249510001462017	11.417567069129683	1.5363578544112484	26949060
ESPAEMG53_S65_L003	21.499095103556716	2.831409191789481	53.26817916620548	8.645232292727648	12.35690350241185	1.3991807433088268	60784856
