	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187075	13.800487573455577	4.31409609519324	21.290682818481475	27.95018896948267	32.644544543387035	25597784
SRZ187076	21.915204443273005	9.073774610847343	20.46907282844688	34.65539162371447	13.886556493718302	25746066
SRZ187077	18.601756493810846	2.855022657648521	30.724492512563348	43.11334233775204	4.705385998225245	44292328
SRZ187078	11.215355345623731	4.543120394741736	17.49626798631534	29.237708682224977	37.507547591094216	68420837
SRZ187079	23.05203494541253	3.635431158480511	25.287085288500084	40.45389834704898	7.571550260557901	6785440
SRZ187080	18.189068484198984	5.168239120746891	22.8211894348566	42.94936387893348	10.872139081264041	3935886
SRZ187081	14.525211029662477	11.596223633969908	24.520444207901043	35.62399966772306	13.73412146074351	4141124
SRZ187082	16.132281354610583	3.5634507374107174	31.16308373603501	40.50758774587886	8.63359642606483	23797186
SRZ187083	19.667998722072955	3.9596140212363604	25.949556100779542	40.295687058437785	10.127144097473357	12858324
SRZ187084	19.549689984368445	7.864287457080563	24.16930228956173	35.98094535136488	12.435774917624384	8315871
SRZ187085	18.411848470453076	3.4890682264376998	27.305003365295864	44.418227900871734	6.375852036941627	19170677
SRZ187086	16.54584875179996	5.78345237011654	23.08676665014318	39.868995147071054	14.714937080869271	7635595
SRZ187087	18.23514959040895	8.765115426228409	25.84009727240648	33.33348826052849	13.826149450427671	10972896
SRZ187088	21.4539082227601	3.7933957309180095	26.132222204680808	38.9424779132806	9.67799592836049	10831509
SRZ187089	18.41247545075353	4.94856765726904	22.86891300562107	37.05039004336687	16.719653842989487	7815413
SRZ187090	14.445420104770784	3.6946421600973154	24.971163500571603	33.82016973072019	23.068604503840106	10923656
SRZ187091	20.99426814324704	2.943159746813782	26.507575948892356	41.714344191081494	7.840651969965327	10612268
SRZ187092	17.88004733586234	3.9986206802160376	22.833103066515303	28.1607193956136	27.12750952179272	7890846
SRZ187093	36.27283037013978	29.754791207672053	10.946298790348777	14.98408010393022	8.041999527909171	7973042
SRZ187094	15.359761233880675	3.076770911949884	27.76193022119241	45.992780122012185	7.808757510964843	14286114
SRZ187095	8.639237114179744	3.966029102554919	17.1164941849668	24.566024313347366	45.71221528495117	9730211
SRZ187096	17.69833153475031	10.69641056178162	25.699731173621515	29.763901163842085	16.141625566004468	5098458
SRZ187097	19.61108873151619	3.895266041987751	28.26169039722997	39.026755327348525	9.205199501917566	9425749
SRZ187098	9.428719587796637	3.26516538379013	14.086900104275399	24.812603708100852	48.40661121603698	3723793
SRZ187099	16.01009839763859	18.101938675171247	24.68387956830364	27.36233719709524	13.841746161791281	7790939
SRZ187100	17.80852139850872	4.127316394175837	28.723273449695636	37.55592012820805	11.784968629411756	13956066
SRZ187101	14.090952823082453	4.370143995469489	23.210076632278483	35.488183673421496	22.840642875748078	12784430
SRZ187102	14.068333228292744	8.884163092197214	28.937801759985962	31.747166375642447	16.362535543881634	12947376
SRZ187103	19.313719528931546	4.536846290971188	27.370150828804974	37.565063962554134	11.214219388738154	12860806
SRZ187104	17.181831369591997	4.992192818421477	22.82600473937813	36.14647931145094	18.853491761157457	9333714
SRZ187105	17.686831608384484	11.02595103057548	24.895908432279924	29.361109976436108	17.030198952324003	6634303
SRZ187106	19.58348857723612	5.25995973925367	28.15913133504439	33.93541539712631	13.062004951339505	10405669
SRZ187107	15.73260477704226	4.60214716514754	24.027915576886393	38.924736489344525	16.71259599157928	7983643
SRZ187108	16.48643993930827	8.296850271842562	27.668436829873468	32.87572379994448	14.672549159031218	13627557
SRZ187109	23.489382744083347	4.099691954668635	27.496033654923497	35.425242985320786	9.489648661003732	6693820
SRZ187110	18.646667766691294	4.774732048565755	28.464846465093473	36.37289291912019	11.740860800529289	15036027
SRZ187111	18.55419035782852	9.26248047136414	26.918976825425215	31.318580097954154	13.94577224742797	15443347
SRZ187112	22.804228141154695	3.146662957770917	28.272347703468277	39.26292582300305	6.513835374603061	7261820
SRZ187113	21.34598351470993	3.756309879871597	27.49765262919619	39.99996556041501	7.400088415807269	12775996
SRZ187114	19.694395707315977	6.66500370684494	26.864700587219453	33.870765789333205	12.905134209286425	8186207
SRZ187115	23.531123148328113	8.731109308807532	25.873441654718206	34.59974783579409	7.264578052352057	9826930
SRZ187116	14.367142165256785	4.053871010772848	28.36695316641177	36.53992806220752	16.672105595351074	11672029
SRZ187117	17.398045724271174	7.018390168058641	29.37771868329669	30.997279537659097	15.208565886714398	8642281
SRZ187118	22.580471447718523	3.4221616906225445	28.429568810701245	38.07822991700724	7.489568133950442	9693376
SRZ187119	19.501827864355008	3.492186300682732	30.28991209291828	34.86827819816685	11.847795543877131	8644241
SRZ187120	21.53450689850166	8.265250813179504	22.315894721301813	34.29200485855767	13.592342708459359	1876277
SRZ187121	14.298088004305363	6.89327232818009	27.14528452448446	37.980691339376996	13.682663803653094	4795879
SRZ187122	17.266485099274156	3.5846506829085456	24.590164368672163	27.679762093443486	26.878937755701646	11325455
SRZ187123	16.065572832158775	7.333960737455353	30.259777638429124	35.208308404371365	11.13238038758538	12928403
SRZ187124	20.487000624321695	2.7005982439392975	32.277889091715885	39.55218135386922	4.982330686153899	16834270
SRZ187125	14.651024346962222	4.7917694733175775	25.82271953406717	33.55294910413991	21.181537541513123	11076618
SRZ187126	16.084472730161156	17.2938032698928	20.075452723836587	36.848434369094136	9.697836907015327	5337912
SRZ187127	21.61632591412367	2.1779883851290744	29.418347342470824	40.73003069430447	6.0573076639719625	4872891
SRZ187128	9.104971470133275	4.214429863650799	22.59473692884035	25.388307720813064	38.69755401656251	2245191
SRZ187129	10.83928710405479	4.616954626819208	21.44989882481127	29.016265857265157	34.07759358704958	5139600
SRZ187130	16.674728697535937	7.23454670979349	26.454495525740928	34.66425506786751	14.971973999062135	10413009
SRZ187131	14.255669068793061	4.366348683712169	32.12582855405009	29.666221703753457	19.585931989691225	8910855
SRZ187132	17.21109755885205	11.443145789762445	20.59157040245531	34.91948476696338	15.834701481966817	3847657
SRZ187133	20.11675744716912	6.1890001048003755	24.505914048550068	38.26277638110358	10.925552018376859	7528599
SRZ187134	15.061965968242774	5.099920032974895	27.284908803202168	29.89888845350748	22.65431674207268	8258404
SRZ187135	16.40911963293046	8.789967763903922	28.145750899015933	29.460648792557436	17.19451291159225	9939479
SRZ187136	20.205206349702188	4.018027793023833	25.627503651121874	33.2581917687244	16.891070437427707	12292797
SRZ187137	10.723697517753475	4.652227318189525	18.60102136959257	25.267583140259134	40.7554706542053	4830181
SRZ187138	18.228639795605723	8.793333015803732	29.184747489324252	29.14485250157639	14.648427197689902	7033465
SRZ187139	17.75747678642318	4.105366215634907	27.972046270999442	37.19455791980482	12.97055280713765	9400964
SRZ187140	16.54596114012686	3.229444138742026	28.747418800478815	41.51469381294478	9.962482107707523	27583106
SRZ187141	18.94564401448205	9.169858178151747	23.588231624239523	30.08100368088776	18.21526250223892	2484455
SRZ187142	20.576664611555863	3.9690878023318263	27.488117616532982	38.888031508344625	9.078098461234703	11527359
SRZ187143	16.856857090505496	4.3022350652336545	32.87997917938292	33.73335605239233	12.2275726124856	8568430
SRZ187144	18.80012053977774	9.582122347874407	25.62539643636941	27.14555409376669	18.84680658221175	5189988
SRZ187145	15.469238016002363	2.5501032682612705	28.844390673274457	49.51382885052911	3.6224391919328034	20689319
SRZ187146	32.40802890480622	5.119097009904857	23.620394211379374	30.528782468865675	8.323697405043873	11750295
SRZ187147	18.340733002524594	8.940638209376784	27.58383873557548	33.39088631593202	11.743903736591122	6202980
SRZ187148	18.278995711507182	3.227795294628565	26.459963720262543	46.87176594214293	5.161479331458782	10550793
SRZ187149	24.77794930858581	5.537772924153756	26.929000773564955	33.3826915903141	9.372585403381379	4474091
SRZ187150	18.513786908123638	15.338525323486438	25.87178574101421	25.8241059457524	14.451796081623309	8177468
SRZ187151	17.18918727072744	4.463938844774045	30.492063847041745	38.56233921193339	9.29247082552338	15158541
SRZ187152	17.73715846367522	4.7974915588743565	30.940236381451076	36.47151843477983	10.053595161219514	16035776
SRZ187153	19.24459680379114	9.998125091473534	26.070324056256183	26.472369173315204	18.214584875163936	12544612
SRZ187154	16.79098302838091	5.900185052414969	28.14653230474033	40.76508603303142	8.397213581432371	9668612
SRZ187155	16.91146639653338	3.662086167133671	28.26708653919185	42.48115359993415	8.678207297206944	15575521
SRZ187156	19.436325329781173	5.748785448793196	25.930906988229403	39.50607177263791	9.377910460558319	17541253
SRZ187157	17.498048932481552	3.726939387051915	30.491072427322532	41.72475989791872	6.559179355225278	15421045
SRZ187158	18.097331400701584	3.9496247042947306	34.439315333072685	33.93400389889538	9.579724663035625	8880464
SRZ187159	14.213470235397054	8.337841684148385	30.87078286475299	30.645667520547608	15.932237695153962	7114575
SRZ187160	20.785405949147986	8.700203500695286	27.676114697462637	38.183617841603755	4.654658011090334	4965585
SRZ187161	20.020299561856852	5.903125020505044	24.730322841772892	42.572919389880404	6.773333185984807	14478145
SRZ187162	15.843521266779552	7.95689110739432	30.668880769590046	34.208915284992806	11.321791571243276	8681921
SRZ187163	17.6554546516808	9.10216243454637	30.062021193465227	36.77453278706483	6.405828933242775	6572592
SRZ187164	21.505483780269593	6.872042254355622	26.370918135956384	33.74037066282588	11.511185166592515	7426264
SRZ187165	15.480524564968617	8.67073153680201	30.305557097911937	31.466357408721667	14.076829391595771	12372843
SRZ187166	19.133782259802157	1.9061111929061094	26.36154861189448	50.082367904749226	2.5161900306480223	13013564
SRZ187167	12.267301721551899	2.9306387393327693	23.31352585216507	30.81591356830983	30.67262011864043	21324771
SRZ187168	14.50893149884321	8.328551706048527	29.944860553841387	33.09002266046838	14.127633580798499	11361195
SRZ187169	17.206498265865953	2.4615662373909384	26.89166273443737	51.26652199039355	2.1737507719121907	14334532
SRZ187170	17.98795221713875	4.597518872251741	29.48927818991826	33.71933482454245	14.205915896148793	10493051
SRZ187171	16.97120702681684	15.320297569350346	25.721273072447612	30.076595887664233	11.910626443720966	8214018
SRZ187172	18.91149200792258	7.3397685964335935	26.80233480717169	39.68608981228576	7.260314776186382	16050833
SRZ187173	15.762233186136754	3.5067509964280528	29.095425475160123	43.292714150917725	8.342876191357341	19001121
SRZ187174	21.78185541253404	8.074007851963401	26.525905434660128	31.411047522960015	12.207183777882417	13400470
SRZ187175	18.857207509821517	2.7552061267375785	26.63525707949349	48.77537386854875	2.9769554153986637	8511414
