	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	1814388	769709	2105349	5027438	5563665
SRZ187076	3104745	1320156	3376726	6889542	2213205
SRZ187077	5272857	921739	9591682	15055066	1143548
SRZ187078	4078681	2085075	8069792	15685170	21290809
SRZ187079	957543	173002	1043060	2002617	225911
SRZ187080	442817	128904	571767	1274758	234834
SRZ187081	339578	326916	585164	990374	262848
SRZ187082	2311213	609047	5134492	7292764	1097686
SRZ187083	1648140	340607	2191729	3916216	755911
SRZ187084	1037402	456843	1173862	2128912	622196
SRZ187085	2160377	500708	3352494	6764035	609375
SRZ187086	792422	268208	1165391	2350885	726646
SRZ187087	1269911	676572	1706767	2494947	873156
SRZ187088	1366934	288210	1767573	3108164	582549
SRZ187089	882702	251407	1049919	2108362	852527
SRZ187090	922539	250902	1555117	2720052	824154
SRZ187091	1415781	230821	1814372	3497372	441165
SRZ187092	737020	169010	915800	1381634	1407298
SRZ187093	778177	1068389	423374	736871	358258
SRZ187094	1242296	310121	2377180	4095117	509137
SRZ187095	363575	238679	848517	1500259	3175025
SRZ187096	526314	353215	682992	955909	463321
SRZ187097	1024493	238177	1569731	2607964	415429
SRZ187098	144460	67069	258164	584383	1173970
SRZ187099	740893	464398	1046992	1317793	582562
SRZ187100	1180569	385062	2238631	3555689	819438
SRZ187101	1017823	305319	1573318	3170910	1768952
SRZ187102	1081035	784963	2080152	2845996	1249817
SRZ187103	1248367	356241	1917235	3327948	750315
SRZ187104	1033616	298208	1305664	2521584	1146924
SRZ187105	688391	508500	896276	1301329	689094
SRZ187106	1052412	278230	1571510	2288601	739045
SRZ187107	825873	231234	1081287	2302617	786314
SRZ187108	1369164	772350	2250529	3231447	1209187
SRZ187109	785387	163346	1038607	1570321	317935
SRZ187110	1680673	461091	2603867	3867007	938177
SRZ187111	1602670	883987	2491336	3362378	1318600
SRZ187112	999867	155318	1321460	2042564	212678
SRZ187113	1498965	322168	2034343	3703239	427611
SRZ187114	888858	304543	1034670	1748276	534655
SRZ187115	1245131	484429	1532001	2319957	315420
SRZ187116	803244	279233	1857635	2915531	1101950
SRZ187117	987882	353889	1326449	1794303	730635
SRZ187118	1154035	221155	1511907	2583790	329518
SRZ187119	877953	174206	1379004	1851006	529999
SRZ187120	276634	89262	151863	400086	138736
SRZ187121	348432	211607	679044	1227482	361795
SRZ187122	928054	253539	1352553	1737128	2007015
SRZ187123	1304214	637731	2477299	3313549	829291
SRZ187124	1865021	313411	3357263	4752591	343428
SRZ187125	795767	306496	1578742	2530262	1345932
SRZ187126	426175	600278	645793	1449976	252119
SRZ187127	713590	70150	1044342	1536162	122623
SRZ187128	82376	47305	264686	306877	526029
