Sample_Name	Sample_ID	Cruise_Series	GEOTRACES_Section	Cruise_ID	Cruise_Station	Collection_Date	Collection_Year	Collection_Month	Collection_Time	Depth	Env_Biome	Env_Feature	Env_Material	Geo_Loc_Name	Latitude_Longitude	Latitude	Longitude	Bottle_ID	NCBI_BioPrj	NCBI_SRA_Study	NCBI_BioSample	NCBI_SRA_Acc	Total_Read_Pairs	Total_Bases	NCBI_SRA_Accession_Contigs	Assembly_Method	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187206	S0001	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631397	PRJNA385854	SRP110813	SAMN07136483	SRR5788236	17966852	6017624700	SRZ187206	metaSPAdes v3.9.0	319214	111248.0	945532.0	1220725.0	50009.0
SRZ187207	S0002	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631391	PRJNA385854	SRP110813	SAMN07136484	SRR5788235	27207447	8825699100	SRZ187207	metaSPAdes v3.9.0	723311	349506.0	2970117.0	6784420.0	902684.0
SRZ187208	S0003	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	75.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631388	PRJNA385854	SRP110813	SAMN07136485	SRR5788238	26411928	8605894500	SRZ187208	metaSPAdes v3.9.0	698010	271732.0	3208292.0	7982155.0	1140470.0
SRZ187209	S0004	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	101.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631385	PRJNA385854	SRP110813	SAMN07136486	SRR5788237	27920201	9281589300	SRZ187209	metaSPAdes v3.9.0	1439024	510780.0	2833564.0	8331698.0	967186.0
SRZ187210	S0005	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	152.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631382	PRJNA385854	SRP110813	SAMN07136487	SRR5788232	24381370	7797352200	SRZ187210	metaSPAdes v3.9.0	1110552	333462.0	2550156.0	5240186.0	788996.0
SRZ187211	S0006	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	199.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631379	PRJNA385854	SRP110813	SAMN07136488	SRR5788231	19807370	6468445800	SRZ187211	metaSPAdes v3.9.0	404842	245531.0	1168485.0	2692112.0	436673.0
SRZ187212	S0008	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631829	PRJNA385854	SRP110813	SAMN07136489	SRR5788234	22399107	7580284500	SRZ187212	metaSPAdes v3.9.0	3001627	325943.0	1524261.0	3120359.0	358470.0
SRZ187213	S0009	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	49.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631823	PRJNA385854	SRP110813	SAMN07136490	SRR5788233	24549300	7965568800	SRZ187213	metaSPAdes v3.9.0	1229060	497013.0	1627507.0	3470394.0	833459.0
SRZ187214	S0010	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	73.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631820	PRJNA385854	SRP110813	SAMN07136491	SRR5788230	23735856	7776284400	SRZ187214	metaSPAdes v3.9.0	2021485	459862.0	1845147.0	4467776.0	949679.0
SRZ187215	S0011	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	100.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631817	PRJNA385854	SRP110813	SAMN07136492	SRR5788229	30342713	10051937100	SRZ187215	metaSPAdes v3.9.0	2516584	545884.0	3391084.0	8060728.0	1098605.0
SRZ187216	S0012	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	153.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631814	PRJNA385854	SRP110813	SAMN07136493	SRR5788436	23790677	7790244000	SRZ187216	metaSPAdes v3.9.0	1308917	426530.0	2050928.0	4625723.0	613457.0
SRZ187217	S0013	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	198.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631811	PRJNA385854	SRP110813	SAMN07136494	SRR5788435	26284494	8597268600	SRZ187217	metaSPAdes v3.9.0	1576322	507906.0	2221308.0	4339785.0	690406.0
SRZ187218	S0015	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	8.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632891	PRJNA385854	SRP110813	SAMN07136495	SRR5788434	22205216	7279524600	SRZ187218	metaSPAdes v3.9.0	1044764	278703.0	3064408.0	7184379.0	611306.0
SRZ187219	S0016	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632885	PRJNA385854	SRP110813	SAMN07136496	SRR5788433	22430771	7396835400	SRZ187219	metaSPAdes v3.9.0	1014262	290271.0	1988087.0	5961290.0	686690.0
SRZ187220	S0017	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	74.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632882	PRJNA385854	SRP110813	SAMN07136497	SRR5788432	21508977	6921581400	SRZ187220	metaSPAdes v3.9.0	465071	165743.0	604825.0	1195779.0	341961.0
SRZ187221	S0018	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	102.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632879	PRJNA385854	SRP110813	SAMN07136498	SRR5788431	19896675	6401305800	SRZ187221	metaSPAdes v3.9.0	429228	195303.0	599351.0	1054850.0	221378.0
SRZ187222	S0019	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	151.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632876	PRJNA385854	SRP110813	SAMN07136499	SRR5788430	22960807	7400771100	SRZ187222	metaSPAdes v3.9.0	634772	314165.0	850882.0	1613577.0	333169.0
