Sample_Name	Sample_ID	Cruise_Series	GEOTRACES_Section	Cruise_ID	Cruise_Station	Collection_Date	Collection_Year	Collection_Month	Collection_Time	Depth	Env_Biome	Env_Feature	Env_Material	Geo_Loc_Name	Latitude_Longitude	Latitude	Longitude	Bottle_ID	NCBI_BioPrj	NCBI_SRA_Study	NCBI_BioSample	NCBI_SRA_Acc	Total_Read_Pairs	Total_Bases	NCBI_SRA_Accession_Contigs	Assembly_Method	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187206	S0001	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631397	PRJNA385854	SRP110813	SAMN07136483	SRR5788236	17966852	6017624700	SRZ187206	metaSPAdes v3.9.0	9.394222674427613	1.0646025066097475	36.11431823229219	52.28882026510358	1.1380363215668634	2129809.0
SRZ187207	S0002	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631391	PRJNA385854	SRP110813	SAMN07136484	SRR5788235	27207447	8825699100	SRZ187207	metaSPAdes v3.9.0	4.775669048662307	1.1099713788091008	20.852972962543415	64.7183301934606	8.543056416524593	8914374.0
SRZ187208	S0003	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	75.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631388	PRJNA385854	SRP110813	SAMN07136485	SRR5788238	26411928	8605894500	SRZ187208	metaSPAdes v3.9.0	3.759078388610336	0.5064579466841808	19.915606551924835	66.63894807020597	9.179909042574696	10487544.0
SRZ187209	S0004	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	101.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631385	PRJNA385854	SRP110813	SAMN07136486	SRR5788237	27920201	9281589300	SRZ187209	metaSPAdes v3.9.0	7.854909267930031	1.4784393639024205	17.172071854130795	66.67567351204433	6.818906001992425	11417242.0
SRZ187210	S0005	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	152.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631382	PRJNA385854	SRP110813	SAMN07136487	SRR5788232	24381370	7797352200	SRZ187210	metaSPAdes v3.9.0	10.003981289000553	0.7485696875138147	20.82750191851011	60.080973171035815	8.338973933939721	7555342.0
SRZ187211	S0006	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	199.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631379	PRJNA385854	SRP110813	SAMN07136488	SRR5788231	19807370	6468445800	SRZ187211	metaSPAdes v3.9.0	5.58210641804779	0.7152932967955264	17.994922542545982	65.8384251160345	9.869252626576197	3164576.0
SRZ187212	S0008	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631829	PRJNA385854	SRP110813	SAMN07136489	SRR5788234	22399107	7580284500	SRZ187212	metaSPAdes v3.9.0	37.81086622115486	1.655039847983551	16.360526557915172	39.970179971053966	4.203387401892447	6727693.0
SRZ187213	S0009	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	49.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631823	PRJNA385854	SRP110813	SAMN07136490	SRR5788233	24549300	7965568800	SRZ187213	metaSPAdes v3.9.0	14.466940326344547	3.587404637610532	18.43159957630196	51.17399523365334	12.340060226089625	5852281.0
SRZ187214	S0010	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	73.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631820	PRJNA385854	SRP110813	SAMN07136491	SRR5788230	23735856	7776284400	SRZ187214	metaSPAdes v3.9.0	19.869283653107306	2.0198075840808944	15.807500012048088	51.338542032013635	10.964866718750084	7470068.0
SRZ187215	S0011	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	100.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631817	PRJNA385854	SRP110813	SAMN07136492	SRR5788229	30342713	10051937100	SRZ187215	metaSPAdes v3.9.0	14.074797906084823	1.767622834176681	18.967471234743467	58.09984284917344	7.090265175821585	12501366.0
