	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187075	8.060528045803842	4.946931139025374	9.919900807883591	31.108222602163025	45.964417405124166	6674724
SRZ187076	16.10505413360012	8.95790844782464	17.82316631159036	39.00573788985451	18.108133217130373	6329156
SRZ187077	13.47471745110564	2.6330877476319943	28.361671144436706	51.42433439885765	4.106189257968008	13084638
SRZ187078	6.970080873271981	3.6937463556323364	13.398893923096146	28.83417900771791	47.10309984028162	27611100
SRZ187079	18.001978963001438	4.166064625396204	22.497261093258174	50.10470945640703	5.229985861937152	1093502
SRZ187080	18.728464967385506	6.991033165241038	17.23559885031754	43.362649088687334	13.682253928368587	581030
SRZ187081	17.673195891017674	14.725758290114726	20.435614990070437	33.02996966363303	14.135461165164136	839916
SRZ187082	11.431062525246881	3.8222977892796677	30.178783107805195	45.332627522608625	9.235229055059635	4688698
SRZ187083	17.233176676549935	4.26848194459122	20.129765254097038	47.43922321630932	10.929352908452488	3009126
SRZ187084	20.762239063762983	8.565029396770536	20.573333680993564	36.68873410016391	13.410663758309004	2224394
SRZ187085	14.057362033950437	3.867657930538154	23.889891510782835	52.806964377522576	5.378124147206002	3979566
SRZ187086	14.265585609677045	4.746027487913425	20.053601515804154	43.949350206442844	16.98543518016253	2363366
SRZ187087	20.874817510956234	9.983416663394094	22.460396691049063	31.76821635088053	14.913152783720083	2902914
SRZ187088	15.979967173098775	4.447156638562724	23.905559530322797	44.97799849426465	10.689318163751057	2138490
SRZ187089	16.08255274303314	4.820390448445797	18.097889762913155	41.590642028179474	19.40852501742843	2326658
SRZ187090	14.849263000252314	3.498680101685075	24.476856335918868	43.413870191459864	13.761330370683877	2948712
SRZ187091	15.662720691438281	3.733378887493536	23.051820935214597	49.18972076530989	8.362358720543694	2165920
SRZ187092	10.8145846553972	4.102310735288706	11.883016725757578	27.92299259123774	45.277095292318776	1793282
SRZ187093	28.297468464147652	31.698515518008517	10.445691304021219	18.305962775270576	11.252361938552038	1384456
SRZ187094	12.045058978772072	3.7829077178489885	27.305115278264324	49.18112346979891	7.685794555315705	2888836
SRZ187095	3.5622292587898605	3.0003191617567406	10.012210254759946	21.57685772669424	61.84838359799922	3020412
SRZ187096	20.162418687644106	12.396562442335632	19.024627947264985	30.385695116511133	18.030695806244143	1116374
SRZ187097	13.771940192339597	4.523417871816252	25.073870419627358	47.72923685486048	8.90153466135631	1844446
SRZ187098	3.7823282727398784	2.52198940910607	8.81019214265102	24.32214156419933	60.5633486113037	1067332
SRZ187099	20.264167300306568	11.460003196450971	22.04061914286683	28.785251768945027	17.449958591430605	1651832
SRZ187100	12.950112257791423	5.017743973482832	26.545082771224035	42.57723919663782	12.90982180086389	2844346
SRZ187101	13.118338897796315	3.6188538145617373	18.351554415800603	40.15826707148073	24.752985800360616	4045314
SRZ187102	15.252172073319054	9.128332970458235	24.57718521238268	32.94437600501943	18.0979337388206	3573314
SRZ187103	13.640772220795508	5.2333259365824185	23.656222288155806	44.2179431879664	13.251736366499866	2406462
SRZ187104	17.359716423788893	3.8849940921622688	17.737439936983066	39.96937376920047	21.048475777865303	3173750
SRZ187105	19.696742157577354	12.937357073350597	19.642043907555074	27.835182451629287	19.888674409887685	1638078
SRZ187106	14.057698449309818	5.0425058423355145	24.29539659446334	39.85724931184638	16.747149802044945	1972670
SRZ187107	16.314952559667805	3.864333461448607	19.62643093456324	45.074043091949086	15.120239952371263	2653860
SRZ187108	17.987077307032045	9.557565707477407	24.186817564025542	32.060031956749114	16.208507464715893	3971618
SRZ187109	16.43326503214866	4.679270422222446	24.129361770851208	44.149549313118875	10.60855346165881	990710
SRZ187110	18.052827734980845	4.841941223351561	26.360258095883243	39.816018487088535	10.928954458695815	4047798
SRZ187111	18.350939267841234	9.720795139197904	24.29106560626532	31.92054361300565	15.716656373689894	4449636
SRZ187112	14.965717256465004	3.572958321208217	27.79289103090188	48.10750100543096	5.560932385993938	1223356
SRZ187113	15.508064603467767	3.82732309814732	25.064875883999004	49.09482000951374	6.504916404872168	2400738
SRZ187114	20.505149805965804	6.438031941808329	19.44307331993647	39.86550817545896	13.748236756830437	1936772
SRZ187115	18.446697857766633	12.188678508876778	23.016933937640566	39.074902548140486	7.272787147575534	1639784
SRZ187116	9.243052795117492	3.9002402859738505	22.979246342721876	44.17358253041755	19.703878045769233	2802494
SRZ187117	21.87297117023642	6.422293040835989	23.270337705971	31.683687838138294	16.7507102448183	2023950
SRZ187118	16.583637577733416	4.507276634147429	25.367587086658897	46.78298954009513	6.758509161365128	1704222
SRZ187119	16.13233917286329	4.12735636736825	23.542968257683512	41.741011144919966	14.456325057164976	1777312
SRZ187120	29.524846443024714	6.904414634647384	9.952957127303355	39.3833069701514	14.234474824873148	486790
SRZ187121	14.13598875657773	7.430609272918097	17.201419227849986	45.03215778559782	16.199824957056375	1101444
SRZ187122	11.520367825961372	4.112787965790165	16.41682207145174	23.89740206341778	44.05262007337895	2534242
SRZ187123	15.497050089429317	7.476537551064354	27.59516953626239	39.424503016312606	10.00673980693133	4216738
SRZ187124	14.867156260617307	2.909494812220683	32.39061234090374	46.43415309829339	3.3985834879648746	3826300
SRZ187125	9.722533259557192	4.265602379211666	20.972797689143814	40.79850499952799	24.24056167255934	2902474
SRZ187126	15.117173423120573	18.74398265930153	17.577178837606652	39.16591814085911	9.395746939112131	1115526
SRZ187127	18.299778315464298	2.2891395918977104	25.88026900924886	48.54491179303041	4.985901290358724	749714
SRZ187128	3.8906018992123363	3.383084936795341	14.473993370469309	20.597814496043608	57.6545052974794	553282
SRZ187129	6.318886205947978	4.423388452486475	13.720084359812942	26.016291224745544	49.52134975700706	1308680
SRZ187130	15.82570659126344	10.041104566356692	23.58040329482434	32.47171033391405	18.081075213641476	2229436
SRZ187131	12.531329537225606	4.599302256503245	22.638126615012162	34.82912661695357	25.402114974305412	2060356
SRZ187132	17.322834645669293	12.503084550328644	15.697276622473472	34.78783902012248	19.688965161406106	713232
SRZ187133	15.032269589633422	6.576827884834133	21.338084833827264	44.404390557461554	12.648427134243631	1309902
SRZ187134	13.589026026035686	5.941984231908672	22.251440261707856	30.920126993930154	27.297422486417634	2072540
SRZ187135	17.652212076118136	10.496761065898365	24.29909398129559	26.68022624576511	20.8717066309228	2356022
SRZ187136	16.75513939948659	5.147582519828702	20.777479080227064	33.24675482117041	24.073044179287226	2639608
SRZ187137	8.056653884512485	4.485038303841831	13.967537631043465	23.053177252230586	50.437592928371636	1642394
SRZ187138	18.905800419751248	9.961348394371951	24.043525542122882	31.0752379413604	16.01408770239352	2389034
SRZ187139	13.418316443309527	4.516768853207108	25.1533396972851	42.42200665699697	14.489568349201292	1669822
SRZ187140	13.14630210397669	2.9727794913771244	31.807070393241023	42.59093955024306	9.482908461162104	8825478
SRZ187141	21.8408994843182	9.623467748753065	13.657282948685435	34.67545861864908	20.202891199594216	591450
SRZ187142	15.945143463292434	4.389375334447765	25.747055675785745	46.01432975484091	7.904095771633147	2111690
SRZ187143	14.83720918687745	5.331005090858546	32.678049737017815	34.479210879693404	12.674525105552783	1611516
SRZ187144	24.525172668287777	10.574980796039716	17.814413597240655	23.921356644737614	23.16407629369424	1195066
SRZ187145	10.952564446340594	2.2711742296671784	26.600245042165277	57.629804404341336	2.546211877485614	7167746
SRZ187146	28.664280364573152	5.620981522623278	21.608645055429328	33.92101101860629	10.18508203876795	2854626
SRZ187147	17.145173008584944	10.600081055300473	23.75834647187035	35.43315161789345	13.063247846350782	1618648
SRZ187148	16.462511291779585	4.30299424945469	25.859475180117656	47.006323396567296	6.368695882080772	2269350
SRZ187149	21.68122988685429	7.207850662756788	23.002431096473025	34.87680108671629	13.231687267199604	742052
SRZ187150	19.506236337919507	13.894422409273895	21.95101927775195	25.012710062215014	19.635611912839636	2022020
SRZ187151	15.95615777907891	4.769384920294666	27.906935723717574	39.15088769718098	12.216633879727873	4081910
SRZ187152	16.91483064113208	5.140609834145873	27.398300177592006	37.554568215001765	12.991691132128269	4331276
SRZ187153	19.493757843979125	9.760644692516019	21.013963934209656	25.658762137525596	24.072871391769603	3784750
SRZ187154	14.808280693782358	6.5485268696966585	22.523256494142323	42.77321346973413	13.34672247264453	2359126
SRZ187155	15.180742264497223	4.344662010995074	23.453153575247132	44.16340686485153	12.858035284409045	4328484
SRZ187156	18.827119113059776	5.8191902234608985	22.522168513507925	41.9914506630229	10.840071486948498	5608856
SRZ187157	13.315750742906577	4.266446462978255	29.233724868973187	45.60249863777055	7.581579287371431	3560340
SRZ187158	16.819147680321095	3.7039223144759683	31.490991050074985	35.14583524617759	12.840103708950362	1829736
SRZ187159	18.26941063235689	9.301640098811788	26.06155217037891	25.908278264694513	20.4591188337579	1764162
SRZ187160	17.03896330936824	6.758375035510587	29.790869954764975	40.95255785494198	5.459233845414217	915220
SRZ187161	15.002372645363568	5.941839460064499	22.143027696982458	49.243020342285575	7.669739855303895	3970252
SRZ187162	13.996705219001036	10.043477522460556	28.97556087702315	36.45802550907763	10.526230872437628	2355240
SRZ187163	13.876645017675441	10.595621296536372	29.95355058211966	38.45926427157574	7.114918832092785	1265032
SRZ187164	21.175550698908538	8.038249299809651	21.62493297186207	35.46167699594306	13.699590033476683	1872348
SRZ187165	15.76860555841489	10.59629942951346	26.044396591673223	30.588766561955865	17.001931858442564	3042666
SRZ187166	16.12565922361798	1.4975737178445172	25.296306086130542	55.618472255007696	1.461988717399263	5659688
SRZ187167	9.215447663701928	2.472945369203355	17.665951686424492	28.30222444925643	42.3434308314138	7823060
SRZ187168	14.515499682521664	8.540403700011943	26.666761259839166	34.60862666084919	15.668708696778038	3382908
SRZ187169	13.025332562876413	2.369913353929406	25.613172993361633	57.37665485198279	1.614926237849758	6593490
SRZ187170	13.93217428264886	5.464414378901256	25.297532332646632	30.82201876373259	24.483860242070662	2333864
SRZ187171	14.137423587581806	10.550078403213668	27.654629065886912	32.31613923100235	15.341729712315265	2197614
SRZ187172	14.058538823153256	8.030240193136876	23.553060510505986	43.68558725333692	10.672573219866964	4316110
SRZ187173	13.980258760848367	3.727465773228695	26.762092115637483	42.539454304736	12.990729045549461	4862714
SRZ187174	21.931662514750993	10.499621291729955	22.504877215268724	29.839300778200375	15.22453820004995	3435362
SRZ187175	17.187025046737883	2.7558961256727574	27.96624143966591	49.43467523875559	2.656162149167857	2013356
SRZ187176	6.851159084737526	3.2030256256342096	14.956712972887994	22.828413297317383	52.16068901942289	4478016
SRZ187177	17.54978062774215	8.797750440018813	24.23868443063226	32.10449857935128	17.30928592225549	2589662
SRZ187178	21.301827696599766	3.864848356199396	24.433691305986475	44.81744694308105	5.582185698133315	1846696
SRZ187179	7.650363074422236	3.90496611661872	23.401991294769374	38.45942015036307	26.583259363826595	4488336
SRZ187180	16.296014672445306	13.154650079808501	24.3265659829933	29.650955949742414	16.571813315010477	1883258
SRZ187181	15.707033783992504	4.672302480513196	25.561848080150746	40.94463379222999	13.114181863113565	1942340
SRZ187182	12.356311476512776	3.680665258285453	18.46812976842445	37.22130871805913	28.273584778718195	3715850
SRZ187183	16.31962262513708	9.602233369788168	25.419093456531723	32.03347660931139	16.625573939231636	2673628
SRZ187184	13.41082678878542	2.250187644488465	22.316330393901012	60.53196936369633	1.4906858091287774	4527178
SRZ187185	12.479375680737336	9.566269217911435	22.417242110636217	34.35679083794947	21.180322152765545	2225528
SRZ187186	13.186195237669994	10.280273845911719	27.759480318761877	32.73586849171663	16.038182105939782	2262002
SRZ187187	12.725783163382273	4.388448691562831	24.743299931396695	48.72876260574901	9.413705607909192	2311842
SRZ187188	18.30823010040339	8.063534416861586	19.5128989868047	32.75114446120856	21.364192034721764	3492910
SRZ187189	19.39080126597307	11.301665466937203	22.129821067391994	32.258140422896616	14.919571776801119	1869866
SRZ187190	15.376713168229388	3.8578643251727187	25.201613652013016	49.42087838706107	6.142930467523805	2692526
SRZ187191	7.1751419698462096	3.4242883876123478	20.27153564745255	33.30736251309859	35.82167148199031	4197018
