	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	347418	252158.0	485932.0	1834006.0	2501936.0
SRZ187076	680482	366246.0	872368.0	2156902.0	857180.0
SRZ187077	1264564	244244.0	2957464.0	6088066.0	354304.0
SRZ187078	1340278	695980.0	3053884.0	7362010.0	11655184.0
SRZ187079	145588	29768.0	184964.0	481290.0	28682.0
SRZ187080	82052	25422.0	75584.0	219394.0	53714.0
SRZ187081	115010	70046.0	111090.0	228610.0	76540.0
SRZ187082	390402	123022.0	1168268.0	1915808.0	310976.0
SRZ187083	402164	82678.0	470208.0	1281772.0	238382.0
SRZ187084	368446	119144.0	323612.0	703504.0	226146.0
SRZ187085	419770	107740.0	773152.0	1924172.0	149350.0
SRZ187086	262262	73768.0	378776.0	969000.0	326534.0
SRZ187087	493892	196662.0	464104.0	777440.0	316358.0
SRZ187088	250638	69144.0	383398.0	849138.0	156488.0
SRZ187089	305476	79638.0	327824.0	872324.0	365524.0
SRZ187090	360546	65624.0	536662.0	1151898.0	311732.0
SRZ187091	244272	52178.0	382408.0	941856.0	121524.0
SRZ187092	133064	50366.0	144838.0	436202.0	691752.0
SRZ187093	332504	287350.0	99788.0	212440.0	111406.0
SRZ187094	236116	71788.0	596300.0	1223600.0	136712.0
SRZ187095	65310	63312.0	220632.0	581132.0	1529108.0
SRZ187096	178240	79246.0	126584.0	278826.0	145266.0
SRZ187097	168134	49704.0	345060.0	761352.0	98864.0
SRZ187098	25330	19898.0	67604.0	233186.0	506456.0
SRZ187099	268404	109872.0	223666.0	388210.0	199798.0
SRZ187100	228432	93870.0	543304.0	1031522.0	236318.0
SRZ187101	449040	97244.0	559192.0	1488016.0	758398.0
SRZ187102	445994	213784.0	579410.0	956750.0	503706.0
SRZ187103	215952	83394.0	415232.0	888884.0	216698.0
SRZ187104	473970	79268.0	445690.0	1171974.0	538940.0
SRZ187105	247384	139168.0	218384.0	373748.0	243278.0
SRZ187106	161446	63242.0	335144.0	649356.0	228604.0
SRZ187107	378358	62822.0	403706.0	1101906.0	303814.0
SRZ187108	567968	240646.0	685416.0	1079180.0	503880.0
SRZ187109	102090	34356.0	170498.0	360740.0	58990.0
SRZ187110	578210	133546.0	795784.0	1403382.0	319184.0
SRZ187111	636132	279360.0	777872.0	1207302.0	542416.0
SRZ187112	118054	24680.0	266558.0	508434.0	35270.0
SRZ187113	261808	57868.0	467962.0	1024420.0	94732.0
SRZ187114	304984	73218.0	248506.0	679928.0	196570.0
SRZ187115	211562	115902.0	286496.0	558066.0	70936.0
SRZ187116	136284	65412.0	457918.0	1082456.0	394544.0
SRZ187117	360602	66954.0	337058.0	558154.0	269934.0
SRZ187118	202526	52958.0	314398.0	702218.0	64316.0
SRZ187119	205866	47102.0	288866.0	623098.0	176838.0
SRZ187120	131280	26818.0	30324.0	176250.0	58404.0
SRZ187121	126436	57468.0	124378.0	450120.0	145446.0
SRZ187122	198054	65088.0	292360.0	468662.0	899184.0
SRZ187123	538148	211000.0	886162.0	1486676.0	322746.0
SRZ187124	389222	73006.0	928316.0	1515540.0	61372.0
SRZ187125	189564	77588.0	444906.0	1056828.0	512588.0
SRZ187126	116878	127218.0	138584.0	383262.0	64508.0
SRZ187127	102870	10434.0	147034.0	321538.0	16944.0
SRZ187128	12112	13152.0	59100.0	95528.0	247802.0
SRZ187129	47444	39716.0	119674.0	285996.0	516874.0
