Sample_Name	Sample_ID	Cruise_Series	GEOTRACES_Section	Cruise_ID	Cruise_Station	Collection_Date	Collection_Year	Collection_Month	Collection_Time	Depth	Env_Biome	Env_Feature	Env_Material	Geo_Loc_Name	Latitude_Longitude	Latitude	Longitude	Bottle_ID	NCBI_BioPrj	NCBI_SRA_Study	NCBI_BioSample	NCBI_SRA_Acc	Total_Read_Pairs	Total_Bases	NCBI_SRA_Accession_Contigs	Assembly_Method	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187206	S0001	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631397	PRJNA385854	SRP110813	SAMN07136483	SRR5788236	20058749	6017624700	SRZ187206	metaSPAdes v3.9.0	9.67772442376484	1.4613640501133671	39.07996245516726	48.13871728126234	1.642231789692194	845922.0
SRZ187207	S0002	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631391	PRJNA385854	SRP110813	SAMN07136484	SRR5788235	29418997	8825699100	SRZ187207	metaSPAdes v3.9.0	4.9641774551493185	1.6640363221576762	23.376334632733695	60.32667148981288	9.668780100146424	3931044.0
SRZ187208	S0003	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	75.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631388	PRJNA385854	SRP110813	SAMN07136485	SRR5788238	28686315	8605894500	SRZ187208	metaSPAdes v3.9.0	4.10734757006154	1.1807188554349222	22.062244536146164	61.732727434887316	10.916961603470067	4597030.0
SRZ187209	S0004	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	101.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631385	PRJNA385854	SRP110813	SAMN07136486	SRR5788237	30938631	9281589300	SRZ187209	metaSPAdes v3.9.0	8.496333878228183	2.6199978175954777	18.62380325305404	61.660237754962594	8.59962729615971	3775652.0
SRZ187210	S0005	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	152.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631382	PRJNA385854	SRP110813	SAMN07136487	SRR5788232	25991174	7797352200	SRZ187210	metaSPAdes v3.9.0	11.126367326346688	1.9145435365881625	24.138326415483757	52.68427374045452	10.136488981126883	2790848.0
SRZ187211	S0006	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	199.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631379	PRJNA385854	SRP110813	SAMN07136488	SRR5788231	21561486	6468445800	SRZ187211	metaSPAdes v3.9.0	9.40882434617835	2.1529967165983304	21.22449646340069	58.88233660584479	8.331345867977848	612170.0
SRZ187212	S0008	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631829	PRJNA385854	SRP110813	SAMN07136489	SRR5788234	25267615	7580284500	SRZ187212	metaSPAdes v3.9.0	39.126105915862176	2.274426772196036	15.934780721285398	37.279832071630025	5.384854519026374	2856456.0
SRZ187213	S0009	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	49.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631823	PRJNA385854	SRP110813	SAMN07136490	SRR5788233	26551896	7965568800	SRZ187213	metaSPAdes v3.9.0	14.974710840497286	3.6462036092142784	20.153676241044515	47.6216647297549	13.603744579489026	3049528.0
SRZ187214	S0010	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	73.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631820	PRJNA385854	SRP110813	SAMN07136491	SRR5788230	25920948	7776284400	SRZ187214	metaSPAdes v3.9.0	21.525911020161573	2.579289284971268	17.038248565722867	46.24766536942113	12.60888575972317	3403108.0
SRZ187215	S0011	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	100.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631817	PRJNA385854	SRP110813	SAMN07136492	SRR5788229	33506457	10051937100	SRZ187215	metaSPAdes v3.9.0	15.168133705646431	2.6229675752360007	20.665584614692737	52.684333822573464	8.858980281851371	4891940.0
SRZ187216	S0012	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	153.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631814	PRJNA385854	SRP110813	SAMN07136493	SRR5788436	25967480	7790244000	SRZ187216	metaSPAdes v3.9.0	13.289700022275571	2.832555750810583	20.066656560156428	55.485669380986565	8.325418285770859	2585792.0
SRZ187217	S0013	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	198.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631811	PRJNA385854	SRP110813	SAMN07136494	SRR5788435	28657562	8597268600	SRZ187217	metaSPAdes v3.9.0	18.05132722622045	3.584096722444246	21.735152805783304	46.861814111552455	9.767609133999539	2474710.0
SRZ187218	S0015	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	8.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632891	PRJNA385854	SRP110813	SAMN07136495	SRR5788434	24265082	7279524600	SRZ187218	metaSPAdes v3.9.0	9.161142824785976	1.5188943114750812	19.32813803175457	62.94625741280116	7.045567419183215	3390756.0
SRZ187219	S0016	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632885	PRJNA385854	SRP110813	SAMN07136496	SRR5788433	24656118	7396835400	SRZ187219	metaSPAdes v3.9.0	10.367735496252175	1.981394631866178	15.482041991938924	62.618275178874114	9.550552701068613	3087926.0
