Sample_Name	Sample_ID	Cruise_Series	GEOTRACES_Section	Cruise_ID	Cruise_Station	Collection_Date	Collection_Year	Collection_Month	Collection_Time	Depth	Env_Biome	Env_Feature	Env_Material	Geo_Loc_Name	Latitude_Longitude	Latitude	Longitude	Bottle_ID	NCBI_BioPrj	NCBI_SRA_Study	NCBI_BioSample	NCBI_SRA_Acc	Total_Read_Pairs	Total_Bases	NCBI_SRA_Accession_Contigs	Assembly_Method	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187206	S0001	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631397	PRJNA385854	SRP110813	SAMN07136483	SRR5788236	20058749	6017624700	SRZ187206	metaSPAdes v3.9.0	27.464984807582887	8.989552943455156	28.62711392497004	24.048809422930265	10.869538901061654	82607
SRZ187207	S0002	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631391	PRJNA385854	SRP110813	SAMN07136484	SRR5788235	29418997	8825699100	SRZ187207	metaSPAdes v3.9.0	24.28378128437509	9.66445043659408	29.70737975410555	23.732319643326488	12.612068881598802	205454
SRZ187208	S0003	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	75.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631388	PRJNA385854	SRP110813	SAMN07136485	SRR5788238	28686315	8605894500	SRZ187208	metaSPAdes v3.9.0	18.900178424522156	7.6487494257294575	32.8183595628065	25.75189375727855	14.880818829663346	187194
SRZ187209	S0004	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	101.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631385	PRJNA385854	SRP110813	SAMN07136486	SRR5788237	30938631	9281589300	SRZ187209	metaSPAdes v3.9.0	15.515318215811288	7.982330498269809	34.37123699187507	24.800679401214303	17.33043489282953	157786
SRZ187210	S0005	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	152.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631382	PRJNA385854	SRP110813	SAMN07136487	SRR5788232	25991174	7797352200	SRZ187210	metaSPAdes v3.9.0	13.33035320278069	8.522600278527586	34.911083220145684	25.70993013886262	17.526033159683422	174489
SRZ187211	S0006	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	199.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631379	PRJNA385854	SRP110813	SAMN07136488	SRR5788231	21561486	6468445800	SRZ187211	metaSPAdes v3.9.0	12.515879634320276	8.697753080454216	35.02949909982932	26.444754459936558	17.312113725459632	128309
SRZ187212	S0008	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631829	PRJNA385854	SRP110813	SAMN07136489	SRR5788234	25267615	7580284500	SRZ187212	metaSPAdes v3.9.0	25.66382867977841	11.407220136074654	27.60530914228353	22.437446555377928	12.886195486485482	134485
SRZ187213	S0009	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	49.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631823	PRJNA385854	SRP110813	SAMN07136490	SRR5788233	26551896	7965568800	SRZ187213	metaSPAdes v3.9.0	18.429160512474354	14.30690984915824	30.735762930487148	22.137047458012262	14.391119249868007	149627
SRZ187214	S0010	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	73.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631820	PRJNA385854	SRP110813	SAMN07136491	SRR5788230	25920948	7776284400	SRZ187214	metaSPAdes v3.9.0	18.303508161661448	11.533258609361113	31.31127687808397	24.65440162846725	14.197554722426212	155238
SRZ187215	S0011	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	100.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631817	PRJNA385854	SRP110813	SAMN07136492	SRR5788229	33506457	10051937100	SRZ187215	metaSPAdes v3.9.0	20.293651844109853	9.569928298562775	31.179399643090235	24.64502996307673	14.311990251160411	219103
SRZ187216	S0012	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	153.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631814	PRJNA385854	SRP110813	SAMN07136493	SRR5788436	25967480	7790244000	SRZ187216	metaSPAdes v3.9.0	16.90678034872838	8.874017409369031	33.28338103146995	25.573053888976048	15.362767321456587	184843
SRZ187217	S0013	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	198.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631811	PRJNA385854	SRP110813	SAMN07136494	SRR5788435	28657562	8597268600	SRZ187217	metaSPAdes v3.9.0	15.884033880740207	8.963210359174838	32.71410175508801	25.845094629051037	16.593559375945905	194919
SRZ187218	S0015	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	8.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632891	PRJNA385854	SRP110813	SAMN07136495	SRR5788434	24265082	7279524600	SRZ187218	metaSPAdes v3.9.0	17.096326541504876	7.295544613906569	34.8718359286391	28.05865791334748	12.677635002601976	149886
SRZ187219	S0016	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632885	PRJNA385854	SRP110813	SAMN07136496	SRR5788433	24656118	7396835400	SRZ187219	metaSPAdes v3.9.0	17.85922770907204	9.026636685981149	33.90502032344547	26.06373778431203	13.14537749718931	185008
SRZ187220	S0017	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	74.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632882	PRJNA385854	SRP110813	SAMN07136497	SRR5788432	23071938	6921581400	SRZ187220	metaSPAdes v3.9.0	12.9327844817864	8.687643321679635	37.11420623284839	25.753731062742	15.511634900943573	106404
SRZ187221	S0018	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	102.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632879	PRJNA385854	SRP110813	SAMN07136498	SRR5788431	21337686	6401305800	SRZ187221	metaSPAdes v3.9.0	12.041048826215274	9.346322559810543	37.91454739542686	25.41062281905685	15.287458399490475	111477
SRZ187222	S0019	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	151.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632876	PRJNA385854	SRP110813	SAMN07136499	SRR5788430	24669237	7400771100	SRZ187222	metaSPAdes v3.9.0	13.00592112273011	9.17850130142929	36.8129442744722	25.421252111968585	15.581381189399819	131394
SRZ187223	S0020	GEOTRACES	GA02	PE319	16	5/20/2010	2010	5	13:30:00	199.0	ocean_biome	ocean	water	Atlantic Ocean	36.2067 N 53.2681 W	36.2067	-53.2681	632873	PRJNA385854	SRP110813	SAMN07136500	SRR5788429	17147643	5144292900	SRZ187223	metaSPAdes v3.9.0	13.056686788796208	10.991658700747703	34.249086647373865	24.07977267667972	17.622795186402506	76367
SRZ187224	S0021	GEOTRACES	GA02	PE319	15	5/18/2010	2010	5	13:22:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	37.5673	-50.6855	632459	PRJNA385854	SRP110813	SAMN07136501	SRR5788428	23533825	7060147500	SRZ187224	metaSPAdes v3.9.0	17.320044066598765	12.07570309089775	32.11145523706583	24.16179924754204	14.330998357895613	96218
SRZ187225	S0022	GEOTRACES	GA02	PE319	15	5/18/2010	2010	5	13:22:00	52.0	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	37.5673	-50.6855	632453	PRJNA385854	SRP110813	SAMN07136502	SRR5788427	23735638	7120691400	SRZ187225	metaSPAdes v3.9.0	17.66990291262136	9.221143473570658	33.52966558791802	24.608414239482197	14.970873786407768	92700
SRZ187226	S0023	GEOTRACES	GA02	PE319	15	5/18/2010	2010	5	13:22:00	75.0	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	37.5673	-50.6855	632450	PRJNA385854	SRP110813	SAMN07136503	SRR5788371	23089410	6926823000	SRZ187226	metaSPAdes v3.9.0	16.912558812204765	8.931942187954885	34.5022210118047	25.118563526572316	14.534714461463333	106483
SRZ187227	S0024	GEOTRACES	GA02	PE319	15	5/18/2010	2010	5	13:22:00	103.0	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	37.5673	-50.6855	632447	PRJNA385854	SRP110813	SAMN07136504	SRR5788372	24224072	7267221600	SRZ187227	metaSPAdes v3.9.0	13.28503566719095	9.786632349903881	36.892108733298386	25.260950383680477	14.775272865926313	125886
SRZ187228	S0025	GEOTRACES	GA02	PE319	15	5/18/2010	2010	5	13:22:00	151.0	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	37.5673	-50.6855	632444	PRJNA385854	SRP110813	SAMN07136505	SRR5788369	26113050	7833915000	SRZ187228	metaSPAdes v3.9.0	14.18918292626408	11.008017796727998	34.42461880706308	24.106224220234513	16.27195624971034	107885
SRZ187229	S0026	GEOTRACES	GA02	PE319	15	5/18/2010	2010	5	13:22:00	201.0	ocean_biome	ocean	water	Atlantic Ocean	37.5673 N 50.6855 W	37.5673	-50.6855	632441	PRJNA385854	SRP110813	SAMN07136506	SRR5788370	24657052	7397115600	SRZ187229	metaSPAdes v3.9.0	14.058771521195586	9.80254213923774	35.899873558519594	23.87842604124084	16.36038673980625	105187
SRZ187230	S0027	GEOTRACES	GA02	PE319	17	5/21/2010	2010	5	13:30:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	34.3277 N 55.4316 W	34.3277	-55.4316	632129	PRJNA385854	SRP110813	SAMN07136507	SRR5788367	50998999	15299699700	SRZ187230	metaSPAdes v3.9.0	26.836051907428306	8.898627064751492	28.72393009170116	23.876974378269114	11.664416557849927	135549
SRZ187231	S0028	GEOTRACES	GA02	PE319	17	5/21/2010	2010	5	13:30:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	34.3277 N 55.4316 W	34.3277	-55.4316	632123	PRJNA385854	SRP110813	SAMN07136508	SRR5788368	29124395	8737318500	SRZ187231	metaSPAdes v3.9.0	21.683367383338197	14.08048772578396	29.041411291630183	21.771735253105035	13.422998346142618	123348
SRZ187232	S0029	GEOTRACES	GA02	PE319	17	5/21/2010	2010	5	13:30:00	77.0	ocean_biome	ocean	water	Atlantic Ocean	34.3277 N 55.4316 W	34.3277	-55.4316	632120	PRJNA385854	SRP110813	SAMN07136509	SRR5788365	36118801	10835640300	SRZ187232	metaSPAdes v3.9.0	20.996993270653366	10.778408819739415	32.60535484178877	22.52183458216007	13.09740848565838	209530
