Sample_Name	Sample_ID	Cruise_Series	GEOTRACES_Section	Cruise_ID	Cruise_Station	Collection_Date	Collection_Year	Collection_Month	Collection_Time	Depth	Env_Biome	Env_Feature	Env_Material	Geo_Loc_Name	Latitude_Longitude	Latitude	Longitude	Bottle_ID	NCBI_BioPrj	NCBI_SRA_Study	NCBI_BioSample	NCBI_SRA_Acc	Total_Read_Pairs	Total_Bases	NCBI_SRA_Accession_Contigs	Assembly_Method	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187206	S0001	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631397	PRJNA385854	SRP110813	SAMN07136483	SRR5788236	17966852	6017624700	SRZ187206	metaSPAdes v3.9.0	14.150537541158426	4.9317012540407354	35.315235345185634	42.76000462107925	2.8425212385359604	3228683
SRZ187207	S0002	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631391	PRJNA385854	SRP110813	SAMN07136484	SRR5788235	27207447	8825699100	SRZ187207	metaSPAdes v3.9.0	7.643259984744066	3.6262541460408	26.55194995647107	54.50845742241291	7.67007849033116	14176778
SRZ187208	S0003	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	75.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631388	PRJNA385854	SRP110813	SAMN07136485	SRR5788238	26411928	8605894500	SRZ187208	metaSPAdes v3.9.0	6.315191183887303	2.6062983331888634	25.785620519324475	56.64061172006339	8.652278243535967	15678021
SRZ187209	S0004	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	101.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631385	PRJNA385854	SRP110813	SAMN07136486	SRR5788237	27920201	9281589300	SRZ187209	metaSPAdes v3.9.0	11.56325646179762	4.388920095327111	21.198375057282423	54.804051468537075	8.045396917055779	16586677
SRZ187210	S0005	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	152.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631382	PRJNA385854	SRP110813	SAMN07136487	SRR5788232	24381370	7797352200	SRZ187210	metaSPAdes v3.9.0	11.475427294926526	4.152641920351879	27.102000645660663	48.36765001062145	8.902280128439482	12300579
SRZ187211	S0006	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	199.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631379	PRJNA385854	SRP110813	SAMN07136488	SRR5788231	19807370	6468445800	SRZ187211	metaSPAdes v3.9.0	9.744962077545292	5.952132643018332	25.704046883602704	48.45939138701417	10.1394670088195	6678497
SRZ187212	S0008	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631829	PRJNA385854	SRP110813	SAMN07136489	SRR5788234	22399107	7580284500	SRZ187212	metaSPAdes v3.9.0	35.05028521365438	4.908013583808571	19.14918649084299	35.93011446606634	4.962400245627715	9800197
SRZ187213	S0009	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	49.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631823	PRJNA385854	SRP110813	SAMN07136490	SRR5788233	24549300	7965568800	SRZ187213	metaSPAdes v3.9.0	17.30906604723581	7.979961452750143	21.871816026744924	42.1176684650223	10.721488008246826	9431023
SRZ187214	S0010	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	73.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631820	PRJNA385854	SRP110813	SAMN07136491	SRR5788230	23735856	7776284400	SRZ187214	metaSPAdes v3.9.0	21.017526018217282	6.0647210112865135	20.116586398846067	43.09387788072242	9.707288690927726	11587458
SRZ187215	S0011	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	100.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631817	PRJNA385854	SRP110813	SAMN07136492	SRR5788229	30342713	10051937100	SRZ187215	metaSPAdes v3.9.0	17.150307797771035	4.066883668031047	22.591840417455078	48.6405054713992	7.5504626453436385	18314785
