	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	1085564	553416.0	1417809.0	4134584.0	4163176.0
SRZ187076	2036320	862924.0	2500719.0	5860118.0	1521399.0
SRZ187077	3606618	636546.0	7308437.0	13132245.0	694470.0
SRZ187078	2630906	1359150.0	6276485.0	13976888.0	18558037.0
SRZ187079	672194	116407.0	731782.0	1676694.0	104189.0
SRZ187080	319223	80188.0	430645.0	1102407.0	133315.0
SRZ187081	259455	185144.0	400937.0	824130.0	150463.0
SRZ187082	1598700	410368.0	4030098.0	6315208.0	694842.0
SRZ187083	1150643	214555.0	1605209.0	3302626.0	494326.0
SRZ187084	823847	288980.0	818078.0	1816138.0	439882.0
SRZ187085	1479607	346961.0	2528624.0	5944891.0	371621.0
SRZ187086	600188	166540.0	886155.0	2116322.0	542775.0
SRZ187087	1018402	433582.0	1198850.0	2096148.0	594983.0
SRZ187088	938546	206800.0	1217798.0	2665368.0	358862.0
SRZ187089	610703	172150.0	774503.0	1795737.0	636055.0
SRZ187090	712764	156621.0	1122794.0	2186680.0	588129.0
SRZ187091	963936	151779.0	1304652.0	3008643.0	261529.0
SRZ187092	426431	110714.0	591940.0	1087916.0	1103736.0
SRZ187093	624434	668229.0	274218.0	594420.0	239665.0
SRZ187094	805439	203763.0	1757348.0	3396111.0	271148.0
SRZ187095	198057	139433.0	539518.0	1235905.0	2445422.0
SRZ187096	411822	209196.0	419502.0	764817.0	320628.0
SRZ187097	615681	144972.0	1095192.0	2134604.0	225836.0
SRZ187098	79557	49294.0	169685.0	484541.0	853702.0
SRZ187099	583593	273508.0	674605.0	1065448.0	380001.0
SRZ187100	706768	253478.0	1517309.0	2899737.0	480710.0
SRZ187101	792997	193034.0	1081682.0	2790148.0	1244902.0
SRZ187102	866873	525700.0	1413150.0	2341572.0	930000.0
SRZ187103	766892	226099.0	1319461.0	2566599.0	462462.0
SRZ187104	821657	178890.0	969227.0	2192565.0	852027.0
SRZ187105	512938	334612.0	605900.0	1056331.0	490168.0
SRZ187106	576112	181972.0	1029245.0	1807093.0	459864.0
SRZ187107	669672	146159.0	790703.0	2034761.0	551275.0
SRZ187108	1080108	477950.0	1643287.0	2766514.0	904330.0
SRZ187109	440889	116157.0	668008.0	1200572.0	164112.0
SRZ187110	1231816	306860.0	1832988.0	3239096.0	611446.0
SRZ187111	1229692	559970.0	1816019.0	2859555.0	979282.0
SRZ187112	636365	91770.0	962076.0	1655771.0	92382.0
SRZ187113	956603	191787.0	1525907.0	3074806.0	226991.0
SRZ187114	637503	177891.0	646417.0	1424212.0	360252.0
SRZ187115	799623	278182.0	1118090.0	1921954.0	159791.0
SRZ187116	397440	157104.0	1253757.0	2405565.0	732547.0
SRZ187117	793971	191860.0	947621.0	1531637.0	553114.0
SRZ187118	793240	153525.0	1051410.0	2172219.0	170298.0
SRZ187119	540718	105342.0	881222.0	1425594.0	326116.0
SRZ187120	245314	63926.0	80916.0	341673.0	111287.0
SRZ187121	264371	142730.0	422137.0	1066988.0	274316.0
SRZ187122	541184	148281.0	877287.0	1240264.0	1496509.0
SRZ187123	1031783	414702.0	1785757.0	2850687.0	590798.0
SRZ187124	1213039	205620.0	2417567.0	3939568.0	147634.0
SRZ187125	501106	186536.0	1058780.0	2128184.0	918284.0
SRZ187126	283632	362316.0	465551.0	1265831.0	141526.0
SRZ187127	499702	45157.0	742628.0	1314262.0	51245.0
SRZ187128	41948	32564.0	180750.0	234689.0	378740.0
SRZ187129	147120	87775.0	294529.0	667288.0	797167.0
SRZ187130	676814	320688.0	1129079.0	2096513.0	513399.0
SRZ187131	458588	134288.0	966309.0	1444886.0	718046.0
SRZ187132	241197	185542.0	284707.0	711787.0	246935.0
SRZ187133	576148	147369.0	916127.0	1850198.0	261055.0
SRZ187134	419251	146659.0	806330.0	1279330.0	670117.0
SRZ187135	642676	357081.0	1070367.0	1585853.0	726258.0
SRZ187136	1095576	207736.0	1446501.0	2461294.0	825419.0
SRZ187137	186995	102975.0	357812.0	647432.0	1019894.0
SRZ187138	612650	297371.0	779027.0	1172686.0	498310.0
SRZ187139	601503	147166.0	1125935.0	1840755.0	355019.0
SRZ187140	2022308	346966.0	4311967.0	6314547.0	1077343.0
SRZ187141	214132	72261.0	110981.0	365782.0	178101.0
SRZ187142	899253	189422.0	1376225.0	2677549.0	200923.0
SRZ187143	548289	129928.0	1338054.0	1436264.0	331896.0
SRZ187144	481629	186087.0	424780.0	676686.0	415087.0
SRZ187145	1417008	262349.0	3337929.0	7537800.0	203999.0
SRZ187146	1966450	208874.0	1242370.0	2108062.0	389190.0
SRZ187147	377202	233413.0	481379.0	902562.0	276659.0
SRZ187148	881940	160974.0	1427679.0	2853341.0	154998.0
SRZ187149	395788	91189.0	491406.0	794983.0	151208.0
SRZ187150	528423	352772.0	823118.0	1081903.0	494465.0
SRZ187151	1031631	266440.0	2365466.0	3421267.0	641279.0
SRZ187152	1110762	298906.0	2373408.0	3334949.0	720872.0
SRZ187153	1045744	475916.0	1388438.0	1850534.0	1234949.0
SRZ187154	650126	242674.0	1406227.0	2528694.0	394693.0
SRZ187155	1143851	287624.0	2258223.0	4332822.0	714092.0
SRZ187156	1674340	478224.0	2066466.0	4319315.0	795223.0
SRZ187157	1031024	262673.0	2351816.0	4071943.0	315494.0
SRZ187158	601778	101701.0	1094367.0	1427168.0	275090.0
SRZ187159	437009	204539.0	931234.0	1193104.0	483673.0
SRZ187160	328687	95309.0	649815.0	1119811.0	54719.0
SRZ187161	1149516	387138.0	1778969.0	3971308.0	386472.0
SRZ187162	457657	302146.0	886571.0	1345717.0	281113.0
SRZ187163	305756	185839.0	726256.0	1062576.0	112869.0
SRZ187164	616901	252152.0	642916.0	1174194.0	363772.0
SRZ187165	711641	425422.0	1385767.0	1870738.0	710877.0
SRZ187166	1638463	131194.0	2343520.0	5299962.0	81681.0
SRZ187167	1262785	285058.0	2757720.0	4453989.0	4504441.0
SRZ187168	735486	395786.0	1504977.0	2190589.0	824113.0
SRZ187169	1564940	198825.0	2591283.0	6046657.0	87958.0
SRZ187170	708927	201031.0	1410473.0	1801947.0	739805.0
SRZ187171	480636	385923.0	1184596.0	1533759.0	475710.0
SRZ187172	1208255	498361.0	2164868.0	3953054.0	590297.0
SRZ187173	1265383	279046.0	2631258.0	4192456.0	768638.0
SRZ187174	1190282	512888.0	1102891.0	1631382.0	714412.0
SRZ187175	793165	100070.0	1343704.0	3097294.0	78932.0
SRZ187176	959674	207733.0	1461297.0	2258413.0	3175099.0
SRZ187177	686187	325080.0	1195126.0	1820167.0	643580.0
SRZ187178	937319	132751.0	1139353.0	2321574.0	130348.0
SRZ187179	592458	279427.0	1972787.0	3351515.0	1583745.0
SRZ187180	426012	303945.0	850582.0	1295667.0	450067.0
SRZ187181	775707	171444.0	1352127.0	2327886.0	342341.0
SRZ187182	803022	212698.0	1302659.0	2631063.0	1382531.0
SRZ187183	664334	373835.0	1377511.0	1952672.0	627988.0
SRZ187184	1211494	155749.0	1938265.0	4901581.0	82160.0
SRZ187185	448521	355147.0	957698.0	1522811.0	596173.0
SRZ187186	438774	322423.0	1130342.0	1504010.0	525865.0
SRZ187187	764280	199907.0	1657301.0	3047469.0	288667.0
SRZ187188	932393	368637.0	1158392.0	2189641.0	910741.0
SRZ187189	554320	303984.0	814058.0	1400512.0	414241.0
SRZ187190	979167	189477.0	1563146.0	3235243.0	230320.0
SRZ187191	553491	246545.0	1514768.0	2745169.0	1997415.0
SRZ187192	218731	129343.0	251125.0	437518.0	192708.0
SRZ187193	954122	135995.0	1856075.0	4089050.0	67463.0
SRZ187194	578225	194026.0	1250963.0	2232691.0	359950.0
SRZ187195	1944448	981511.0	3492988.0	6317754.0	1289840.0
SRZ187196	1020716	165730.0	2173773.0	4309380.0	77379.0
SRZ187197	592521	216732.0	2110900.0	3887551.0	454656.0
SRZ187198	1081049	797410.0	2666572.0	4083088.0	1385717.0
SRZ187199	1995848	239793.0	3575140.0	7187639.0	258937.0
SRZ187200	2029074	459574.0	3958809.0	5899167.0	1907713.0
SRZ187201	735470	600484.0	1765851.0	2896627.0	656162.0
SRZ187202	2036908	489372.0	2791679.0	5903840.0	950227.0
SRZ187203	1967863	497460.0	2839810.0	6022593.0	1022335.0
SRZ187204	605469	438957.0	1134189.0	2292833.0	410462.0
SRZ187206	319214	111248.0	945532.0	1220725.0	50009.0
SRZ187207	723311	349506.0	2970117.0	6784420.0	902684.0
SRZ187208	698010	271732.0	3208292.0	7982155.0	1140470.0
SRZ187209	1439024	510780.0	2833564.0	8331698.0	967186.0
SRZ187210	1110552	333462.0	2550156.0	5240186.0	788996.0
SRZ187211	404842	245531.0	1168485.0	2692112.0	436673.0
SRZ187212	3001627	325943.0	1524261.0	3120359.0	358470.0
SRZ187213	1229060	497013.0	1627507.0	3470394.0	833459.0
SRZ187214	2021485	459862.0	1845147.0	4467776.0	949679.0
SRZ187215	2516584	545884.0	3391084.0	8060728.0	1098605.0
SRZ187216	1308917	426530.0	2050928.0	4625723.0	613457.0
SRZ187217	1576322	507906.0	2221308.0	4339785.0	690406.0
SRZ187218	1044764	278703.0	3064408.0	7184379.0	611306.0
SRZ187219	1014262	290271.0	1988087.0	5961290.0	686690.0
SRZ187220	465071	165743.0	604825.0	1195779.0	341961.0
SRZ187221	429228	195303.0	599351.0	1054850.0	221378.0
SRZ187222	634772	314165.0	850882.0	1613577.0	333169.0
SRZ187223	349900	220904.0	336919.0	640126.0	187205.0
SRZ187224	725368	296450.0	1250824.0	2923374.0	407089.0
SRZ187225	616299	274695.0	1303112.0	2996708.0	432336.0
SRZ187226	789048	272554.0	1538289.0	3598151.0	494982.0
SRZ187227	475816	257324.0	1496569.0	1770685.0	506064.0
SRZ187228	614595	349456.0	693169.0	2578913.0	551060.0
SRZ187229	615162	202123.0	975258.0	5069147.0	342773.0
SRZ187230	1558476	257940.0	2854234.0	6292364.0	643281.0
SRZ187231	1134939	659954.0	926376.0	2165048.0	465006.0
SRZ187232	1598239	446763.0	2325146.0	5646606.0	969995.0
SRZ187233	989607	392472.0	1233837.0	2631346.0	406698.0
SRZ187234	1255407	473080.0	2036745.0	6551373.0	346744.0
SRZ187235	916744	459355.0	1739611.0	5512957.0	327387.0
SRZ187236	438539	177586.0	300678.0	484982.0	1136107.0
SRZ187237	369449	268705.0	824012.0	844323.0	536099.0
SRZ187238	308243	325671.0	1127204.0	1573432.0	644663.0
SRZ187239	1241755	330005.0	1350061.0	2200932.0	1285997.0
SRZ187240	2336287	399232.0	2495883.0	3427973.0	2557282.0
SRZ187241	488988	314409.0	597645.0	1024923.0	905664.0
SRZ187242	485059	209097.0	641974.0	1182410.0	833033.0
SRZ187243	784069	271045.0	2384932.0	5280906.0	1114904.0
SRZ187244	1207643	277040.0	1222535.0	2688420.0	2746725.0
SRZ187245	1088867	342677.0	1712455.0	2689647.0	3828391.0
SRZ187246	875137	648035.0	1663061.0	6854178.0	3837589.0
SRZ187247	465021	270119.0	834694.0	1367267.0	960327.0
SRZ187248	575607	510176.0	882769.0	1588044.0	2699162.0
SRZ187249	685735	399991.0	1357068.0	2303773.0	2857126.0
SRZ187250	388100	154063.0	820620.0	1208426.0	1449458.0
SRZ187251	2318111	452062.0	3028743.0	4931219.0	1699152.0
SRZ187252	422827	63448.0	635463.0	1176782.0	308838.0
SRZ187253	509980	262081.0	545053.0	610940.0	861433.0
SRZ187254	1307269	267912.0	650797.0	849566.0	606635.0
SRZ187255	676516	389243.0	1444294.0	2014625.0	904450.0
SRZ187256	562248	315816.0	1087195.0	1540852.0	697261.0
SRZ187257	730414	444130.0	1634031.0	1965935.0	911811.0
SRZ187258	1199336	307552.0	2052257.0	3621683.0	517851.0
SRZ187259	694919	169462.0	1483510.0	2153956.0	309943.0
SRZ187260	1529431	833324.0	2271544.0	3811219.0	888402.0
SRZ187261	730032	216090.0	1242657.0	2391541.0	3214966.0
SRZ187262	782924	488715.0	1694852.0	2983002.0	1124583.0
SRZ187263	624571	440493.0	2050185.0	3285927.0	1307162.0
SRZ187264	506339	256150.0	1441030.0	2581541.0	1069316.0
SRZ187265	207157	43021.0	555440.0	633960.0	83161.0
SRZ187266	38293	30328.0	216602.0	164208.0	50816.0
SRZ187267	31866	34757.0	20471.0	28007.0	56036.0
SRZ187268	203253	133994.0	198852.0	243782.0	329518.0
SRZ187269	839507	361689.0	1211233.0	1959921.0	1221226.0
SRZ187270	549883	184418.0	906820.0	1084550.0	896227.0
SRZ187271	567341	227132.0	1481131.0	1699670.0	899051.0
SRZ187272	752477	205883.0	1686898.0	1903870.0	1216864.0
SRZ187273	618750	246596.0	1193526.0	1826287.0	987791.0
SRZ187274	294068	88262.0	448303.0	515328.0	1121284.0
SRZ187275	236133	141725.0	645326.0	1881705.0	1522563.0
SRZ187276	963267	450420.0	1502875.0	2389236.0	1431766.0
SRZ187277	716660	391864.0	1840419.0	3559555.0	1194713.0
SRZ187278	807210	427518.0	2208612.0	4232363.0	1593218.0
SRZ187279	676401	176137.0	1691898.0	3181389.0	1170549.0
SRZ187280	500559	133803.0	1653579.0	3225075.0	702742.0
SRZ187281	258287	143360.0	1760555.0	2480443.0	547861.0
