Sample_Name	Sample_ID	Cruise_Series	GEOTRACES_Section	Cruise_ID	Cruise_Station	Collection_Date	Collection_Year	Collection_Month	Collection_Time	Depth	Env_Biome	Env_Feature	Env_Material	Geo_Loc_Name	Latitude_Longitude	Latitude	Longitude	Bottle_ID	NCBI_BioPrj	NCBI_SRA_Study	NCBI_BioSample	NCBI_SRA_Acc	Total_Read_Pairs	Total_Bases	NCBI_SRA_Accession_Contigs	Assembly_Method	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187206	S0001	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631397	PRJNA385854	SRP110813	SAMN07136483	SRR5788236	20058749	6017624700	SRZ187206	metaSPAdes v3.9.0	13.478939117072967	4.093686407242826	37.609016155155935	39.93715997342083	4.881198347107438	1541056
SRZ187207	S0002	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	50.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631391	PRJNA385854	SRP110813	SAMN07136484	SRR5788235	29418997	8825699100	SRZ187207	metaSPAdes v3.9.0	9.9340812497744	3.5917172137223883	28.08657231746604	48.921038006274756	9.466591212762411	6704314
SRZ187208	S0003	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	75.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631388	PRJNA385854	SRP110813	SAMN07136485	SRR5788238	28686315	8605894500	SRZ187208	metaSPAdes v3.9.0	7.081860820804655	2.7998726005346444	27.525143206384634	51.6355753288214	10.95754804345466	7202542
SRZ187209	S0004	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	101.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631385	PRJNA385854	SRP110813	SAMN07136486	SRR5788237	30938631	9281589300	SRZ187209	metaSPAdes v3.9.0	12.06290703634009	4.496115772548271	23.188040588136676	49.77021749693287	10.48271910604209	5857278
SRZ187210	S0005	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	152.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631382	PRJNA385854	SRP110813	SAMN07136487	SRR5788232	25991174	7797352200	SRZ187210	metaSPAdes v3.9.0	12.546310716045735	4.2125646125263305	28.776322494687857	43.184590547366845	11.28021162937323	4764556
SRZ187211	S0006	GEOTRACES	GA02	PE319	10	5/10/2010	2010	5	12:13:00	199.0	ocean_biome	ocean	water	Atlantic Ocean	49.7225 N 42.4467 W	49.7225	-42.4467	631379	PRJNA385854	SRP110813	SAMN07136488	SRR5788231	21561486	6468445800	SRZ187211	metaSPAdes v3.9.0	12.983644675551982	5.373292663381525	28.198497518335824	41.69959016289181	11.744974979838865	1572332
SRZ187212	S0008	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	10.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631829	PRJNA385854	SRP110813	SAMN07136489	SRR5788234	25267615	7580284500	SRZ187212	metaSPAdes v3.9.0	33.79881913067451	4.778614426943547	19.777867977111413	34.67199849660711	6.972699968663416	4193182
SRZ187213	S0009	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	49.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631823	PRJNA385854	SRP110813	SAMN07136490	SRR5788233	26551896	7965568800	SRZ187213	metaSPAdes v3.9.0	18.343310155275677	6.524167213757704	23.74606346359397	38.96095591466775	12.425503252704905	5160628
SRZ187214	S0010	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	73.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631820	PRJNA385854	SRP110813	SAMN07136491	SRR5788230	25920948	7776284400	SRZ187214	metaSPAdes v3.9.0	21.699631515473772	5.0827505366288825	21.56278010452497	39.71222783877352	11.942610004598851	5205646
SRZ187215	S0011	GEOTRACES	GA02	PE319	12	5/12/2010	2010	5	20:39:00	100.0	ocean_biome	ocean	water	Atlantic Ocean	46.312 N 39.658 W	46.312	-39.658	631817	PRJNA385854	SRP110813	SAMN07136492	SRR5788229	33506457	10051937100	SRZ187215	metaSPAdes v3.9.0	17.720676893765983	4.159701311360424	23.52557106568745	44.807416978524884	9.78663375066126	7134118
