	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus	TotalCnt
SRZ187075	5.244111232326343	2.886008753450813	8.22826971840673	36.3883753342671	47.25323496154901	4623548.0
SRZ187076	12.821134996672177	4.436934669047309	16.589655993889576	48.340091312537915	17.812183027853024	4071730.0
SRZ187077	10.240902614933802	1.386682558611628	24.95188166103933	60.54640021342067	2.8741329519945684	9423642.0
SRZ187078	4.762611981795634	1.7047522324125421	11.690256722266374	32.06380527339169	49.77857379013376	21735006.0
SRZ187079	15.214304352005714	1.9171347350206682	19.549006413337544	60.7476276144307	2.571926885205378	728170.0
SRZ187080	17.55062061435201	3.3736371373059075	14.39001022314284	53.57087421252362	11.114857812675627	373662.0
SRZ187081	20.268418141136255	7.682241138733621	16.68882155271349	42.03621291808747	13.324306249329162	484468.0
SRZ187082	8.934261342947703	2.1788129674619614	28.343371516233205	53.027332907531324	7.516221265825807	3350540.0
SRZ187083	15.649637159683738	2.087323443526483	17.146802056535847	55.97213250376817	9.144104836485756	2117736.0
SRZ187084	21.503279168577443	4.23128774358946	16.428303064793276	44.41850699758552	13.418623025454304	1447928.0
SRZ187085	11.41796460934357	1.9405627274755028	21.469576825649902	61.141641469293795	4.030254368237226	2967902.0
SRZ187086	12.251909939771211	2.4677634504224097	17.69046624537954	51.331231389034855	16.258628975391982	1781208.0
SRZ187087	22.838635971719263	5.915890670805311	19.11493360924297	37.65358251422659	14.476957234005862	1855680.0
SRZ187088	13.41125072192639	2.7550645381467285	21.50774153791737	53.739233279632145	8.58670992237737	1447516.0
SRZ187089	15.934436253222254	2.908540101861438	15.39224065054208	47.3576939200441	18.40708907433013	1727052.0
SRZ187090	14.857885867447767	1.6963569024517329	20.051071899658737	50.647364492825055	12.747320837616707	2130330.0
SRZ187091	12.667278469054496	1.716375610677751	20.17368889848579	59.093497800210535	6.3491592215714325	1481960.0
SRZ187092	8.2988649635743	2.4912404096197402	7.900892413517194	32.142373187587516	49.16662902570125	1239784.0
SRZ187093	34.63440538239119	23.551704455070322	8.40998624458439	21.89707767598978	11.50682624196431	854936.0
SRZ187094	9.094690332580786	1.9398439869259023	24.383676753041076	58.858396232772854	5.723392694679381	1899328.0
SRZ187095	2.1076972900493733	1.3793116509506322	7.871432169797563	25.215286629028988	63.42627226017344	2112068.0
SRZ187096	23.374178542996738	6.272263240872267	11.971652904172455	39.40901924667905	18.97288606527949	640630.0
SRZ187097	10.066490721277898	1.8424012213359489	22.478265314786864	59.90645897486107	5.706383767738224	1154146.0
SRZ187098	2.322126790264476	1.3775700729285651	7.137443985590019	30.15085449433266	59.01200465688428	728384.0
SRZ187099	24.181135807099913	5.731037025512716	15.368582127246029	36.84137616497271	17.87786887516863	938434.0
SRZ187100	9.357284670788806	2.6426319288873237	23.910757020106427	53.379334789750104	10.709991590467343	1726612.0
SRZ187101	14.061217072940924	1.8259459168427712	15.212200341889545	47.32081084355188	21.57982582477488	2971720.0
SRZ187102	17.423347882579893	5.653090765627474	18.429940886161177	38.658209396164594	19.835411069466865	2159562.0
SRZ187103	10.8625398885824	2.712017956622857	21.110254746065227	54.02834117583428	11.286846232895234	1479120.0
SRZ187104	17.742082068551845	1.7806360783704602	15.15589653935956	45.9793581051494	19.342027208568734	2420708.0
SRZ187105	20.947630418475438	7.822985517033611	15.86757275350246	33.60036070936813	21.76145060162036	989162.0
SRZ187106	9.520731419076201	2.5512287009647685	21.50728052772187	51.20524427191142	15.215515080325744	1116952.0
