	Eukaryote	EukaryoteVirus	Plasmid	Prokaryote	ProkaryoteVirus
SRZ187075	178216	65930.0	280752.0	1602330.0	1977828.0
SRZ187076	410298	75066.0	526798.0	1834302.0	619062.0
SRZ187077	724340	33292.0	1910754.0	5393494.0	222342.0
SRZ187078	823312	160422.0	2156074.0	6672140.0	10196328.0
SRZ187079	87624	3018.0	105660.0	413708.0	13738.0
SRZ187080	57572	4634.0	40154.0	186994.0	35708.0
SRZ187081	90284	14766.0	57564.0	188398.0	56398.0
SRZ187082	236050	26538.0	795736.0	1673962.0	209592.0
SRZ187083	283424	12192.0	281274.0	1119640.0	164158.0
SRZ187084	269994	27500.0	184202.0	603194.0	173950.0
SRZ187085	289924	20910.0	535658.0	1740014.0	98066.0
SRZ187086	187114	24592.0	266148.0	877488.0	262090.0
SRZ187087	372214	48982.0	277070.0	639402.0	239478.0
SRZ187088	145966	21092.0	250144.0	732120.0	101296.0
SRZ187089	255218	26760.0	221014.0	771522.0	275086.0
SRZ187090	282128	14092.0	346740.0	1040272.0	242766.0
SRZ187091	148996	8092.0	250418.0	828054.0	76902.0
SRZ187092	87640	16452.0	69572.0	379306.0	548784.0
SRZ187093	268740	135672.0	52422.0	169974.0	91346.0
SRZ187094	128904	14486.0	372466.0	1037232.0	89100.0
SRZ187095	32138	10842.0	134652.0	501214.0	1174384.0
SRZ187096	136850	18866.0	48418.0	235400.0	107984.0
SRZ187097	78186	4408.0	184614.0	644372.0	50122.0
SRZ187098	9772	1662.0	39402.0	206056.0	366408.0
SRZ187099	200684	20398.0	91398.0	317516.0	140900.0
SRZ187100	113652	15044.0	335802.0	845268.0	145120.0
SRZ187101	391934	24920.0	367602.0	1358296.0	557582.0
SRZ187102	313962	60878.0	268264.0	748506.0	376142.0
SRZ187103	118820	16390.0	248262.0	738334.0	137246.0
SRZ187104	392012	21726.0	313782.0	1069928.0	421564.0
SRZ187105	177158	33128.0	112360.0	306540.0	195124.0
SRZ187106	78076	7684.0	179184.0	520766.0	134610.0
SRZ187107	325024	17394.0	270588.0	1021126.0	234426.0
SRZ187108	415314	67202.0	386658.0	902366.0	406100.0
SRZ187109	54266	8658.0	95264.0	299300.0	27268.0
SRZ187110	426640	52784.0	456554.0	1198364.0	220188.0
SRZ187111	436930	76792.0	450580.0	1006912.0	431480.0
SRZ187112	64970	1910.0	146956.0	418088.0	14614.0
