DS_0,DS_1,DS_2,DS_3,DS_4,DS_5,DS_6,DS_7,DS_8,DS_9,DS_10,DS_11,DS_12,DS_13,DS_14,DS_15,DS_16,DS_17,DS_18,DS_19
OX344992.1,OY730333.1,OY728635.1,AP021905.1,OX345394.1,CP054690.1,CP071598.1,OX344955.1,OY729472.1,OY734893.1,CP060161.1,CP094262.1,CP117519.1,CP107210.1,CP119327.1,AP027744.1,OY288173.1,OY728626.1,OY288180.1,OX344926.1
CP103423.1,AP024202.1,CP122539.1,JAOYTH010000017.1,CP086839.1,CP090370.1,OY288153.1,CP093299.1,CP054151.1,OX345559.1,CP061739.1,CP087591.1,CP097053.1,OX345127.1,CP089746.1,CP100475.1,OX345362.1,OY288179.1,OY730301.1,OX345517.1
OX344990.1,OY730332.1,OX345220.1,CP067022.1,AP024323.1,AP023086.1,OY288189.1,CP120360.1,JAOYTJ010000010.1,CP107204.1,OX345346.1,CP087042.1,OX345211.1,CP061080.1,OY734861.1,OX345151.1,CP126738.1,CP084252.1,CP102180.1,JAOYTK010000039.1
CP119566.1,JAOYTN010000025.1,OY730380.1,CP032674.1,OX345145.1,CP132907.1,CP065151.1,CP132335.1,OX345016.1,CP089931.1,CP102285.1,JAOYTJ010000013.1,CP117025.1,CP049332.1,CP070480.1,CP056199.1,OX345485.1,JAOYTO010000009.1,AP022057.1,OY728621.1
CP104497.1,LR595876.2,CP088010.1,CP063196.1,AP022567.1,CP094519.1,OY728645.1,CP130649.1,CP067169.1,OY730326.1,AP022057.1,OY728638.1,OY728624.1,OX344943.1,JAOYTK010000034.1,OX345298.1,OY729485.1,OX345190.1,CP102271.1,JAOYTI010000010.1
OX345366.1,CP030037.1,CP053097.1,OX345145.1,AP022665.1,CP095864.1,OX345235.1,OX344979.1,JAOYTK010000025.1,CP084931.1,CP116597.1,OY730397.1,OX345083.1,CP094680.1,CP049869.1,CP050811.1,CP107204.1,LR792448.1,CP113527.1,CP101695.1
CP022297.1,OX344940.1,CP094681.1,OY730398.1,CP111085.1,CP102270.1,CP072142.1,JAOYTK010000020.1,CP049289.1,CP110217.2,OV788642.1,OY288162.1,CP050804.1,OX345062.1,JAOYTK010000030.1,OY730334.1,OX344991.1,OY730356.1,AP024331.1,OX345208.1
CP084758.1,CP083455.1,OX345275.1,OY730346.1,OX345517.1,CP115775.1,CP072146.1,LR792415.1,CP098023.1,OX345441.1,CP091453.1,CP107201.1,CP096972.1,AP024277.1,CP120990.1,OY730301.1,CP054916.1,OX345153.1,CP046055.1,JAOYTK010000046.1
CATOTL010000001.1,CP097897.1,JAOYTI010000009.1,CP103423.1,CP110774.1,CP091454.1,CP085927.1,CP104974.1,OX345249.1,CP076562.1,OX345067.1,CP119312.1,CP114978.1,CP098251.1,CP054599.1,CP104992.1,CP060720.1,CP128153.1,CP064653.1,JAOYTL010000010.1
CP076356.1,OX345351.1,CP073764.1,CP086909.1,OX345535.1,LR792463.1,OX344935.1,CP080599.1,CP051010.1,OV788644.1,CP071709.1,JAOYTH010000039.1,CP091788.1,AP024845.1,OX345529.1,CP056123.1,CP116394.1,CP054840.1,CP091851.1,OY730344.1
